NoteOctave,Note,Instrument,Position
D5,D,Bass clarinet,0
D5,D,Bass clarinet,1
D5,D,Bass clarinet,2
C5,C,Bass clarinet,3
C5,C,Bass clarinet,4
B-4,B-,Bass clarinet,5
B-4,B-,Bass clarinet,6
F4,F,Bass clarinet,7
E-4,E-,Bass clarinet,8
D4,D,Bass clarinet,9
E-4,E-,Bass clarinet,10
F4,F,Bass clarinet,11
G4,G,Bass clarinet,12
A4,A,Bass clarinet,13
G4,G,Bass clarinet,14
F4,F,Bass clarinet,15
E-4,E-,Bass clarinet,16
D4,D,Bass clarinet,17
E-4,E-,Bass clarinet,18
F4,F,Bass clarinet,19
G4,G,Bass clarinet,20
F4,F,Bass clarinet,21
E-4,E-,Bass clarinet,22
F4,F,Bass clarinet,23
D5,D,Bass clarinet,24
D5,D,Bass clarinet,25
D5,D,Bass clarinet,26
C5,C,Bass clarinet,27
C5,C,Bass clarinet,28
B-4,B-,Bass clarinet,29
B-4,B-,Bass clarinet,30
F4,F,Bass clarinet,31
E-4,E-,Bass clarinet,32
D4,D,Bass clarinet,33
E-4,E-,Bass clarinet,34
F4,F,Bass clarinet,35
G4,G,Bass clarinet,36
A4,A,Bass clarinet,37
A4,A,Bass clarinet,38
C5,C,Bass clarinet,39
B-4,B-,Bass clarinet,40
A4,A,Bass clarinet,41
A4,A,Bass clarinet,42
A4,A,Bass clarinet,43
G4,G,Bass clarinet,44
A4,A,Bass clarinet,45
A4,A,Bass clarinet,46
B-4,B-,Bass clarinet,47
C5,C,Bass clarinet,48
A4,A,Bass clarinet,49
C5,C,Bass clarinet,50
C5,C,Bass clarinet,51
C5,C,Bass clarinet,52
C5,C,Bass clarinet,53
C5,C,Bass clarinet,54
B-4,B-,Bass clarinet,55
A4,A,Bass clarinet,56
G4,G,Bass clarinet,57
F4,F,Bass clarinet,58
D5,D,Bass clarinet,59
D5,D,Bass clarinet,60
D5,D,Bass clarinet,61
C5,C,Bass clarinet,62
C5,C,Bass clarinet,63
B-4,B-,Bass clarinet,64
B-4,B-,Bass clarinet,65
F4,F,Bass clarinet,66
E-4,E-,Bass clarinet,67
D4,D,Bass clarinet,68
E-4,E-,Bass clarinet,69
F4,F,Bass clarinet,70
G4,G,Bass clarinet,71
A4,A,Bass clarinet,72
A4,A,Bass clarinet,73
C5,C,Bass clarinet,74
B-4,B-,Bass clarinet,75
C5,C,Bass clarinet,76
B-4,B-,Bass clarinet,77
A4,A,Bass clarinet,78
B-4,B-,Bass clarinet,79
D6,D,Celesta,0
D6,D,Celesta,1
D6,D,Celesta,2
C6,C,Celesta,3
C6,C,Celesta,4
B-5,B-,Celesta,5
B-5,B-,Celesta,6
F5,F,Celesta,7
E-5,E-,Celesta,8
D5,D,Celesta,9
E-5,E-,Celesta,10
F5,F,Celesta,11
G5,G,Celesta,12
A5,A,Celesta,13
G5,G,Celesta,14
F5,F,Celesta,15
E-5,E-,Celesta,16
D5,D,Celesta,17
E-5,E-,Celesta,18
F5,F,Celesta,19
G5,G,Celesta,20
F5,F,Celesta,21
E-5,E-,Celesta,22
F5,F,Celesta,23
D6,D,Celesta,24
D6,D,Celesta,25
D6,D,Celesta,26
C6,C,Celesta,27
C6,C,Celesta,28
B-5,B-,Celesta,29
B-5,B-,Celesta,30
F5,F,Celesta,31
E-5,E-,Celesta,32
D5,D,Celesta,33
E-5,E-,Celesta,34
F5,F,Celesta,35
G5,G,Celesta,36
A5,A,Celesta,37
A5,A,Celesta,38
C6,C,Celesta,39
B-5,B-,Celesta,40
A5,A,Celesta,41
A5,A,Celesta,42
A5,A,Celesta,43
G5,G,Celesta,44
A5,A,Celesta,45
A5,A,Celesta,46
B-5,B-,Celesta,47
C6,C,Celesta,48
A5,A,Celesta,49
C6,C,Celesta,50
C6,C,Celesta,51
C6,C,Celesta,52
C6,C,Celesta,53
C6,C,Celesta,54
B-5,B-,Celesta,55
A5,A,Celesta,56
G5,G,Celesta,57
F5,F,Celesta,58
D6,D,Celesta,59
D6,D,Celesta,60
D6,D,Celesta,61
C6,C,Celesta,62
C6,C,Celesta,63
B-5,B-,Celesta,64
B-5,B-,Celesta,65
F5,F,Celesta,66
E-5,E-,Celesta,67
D5,D,Celesta,68
E-5,E-,Celesta,69
F5,F,Celesta,70
G5,G,Celesta,71
A5,A,Celesta,72
A5,A,Celesta,73
C6,C,Celesta,74
B-5,B-,Celesta,75
C6,C,Celesta,76
B-5,B-,Celesta,77
A5,A,Celesta,78
B-5,B-,Celesta,79
B-1,B-,Acoustic Bass,0
D2,D,Acoustic Bass,1
F2,F,Acoustic Bass,2
F2,F,Acoustic Bass,3
F2,F,Acoustic Bass,4
B-1,B-,Acoustic Bass,5
B-1,B-,Acoustic Bass,6
B-1,B-,Acoustic Bass,7
F2,F,Acoustic Bass,8
F2,F,Acoustic Bass,9
F2,F,Acoustic Bass,10
B-1,B-,Acoustic Bass,11
B-1,B-,Acoustic Bass,12
B-1,B-,Acoustic Bass,13
B-1,B-,Acoustic Bass,14
D2,D,Acoustic Bass,15
F2,F,Acoustic Bass,16
F2,F,Acoustic Bass,17
F2,F,Acoustic Bass,18
B-1,B-,Acoustic Bass,19
B-1,B-,Acoustic Bass,20
B-1,B-,Acoustic Bass,21
F2,F,Acoustic Bass,22
F2,F,Acoustic Bass,23
F2,F,Acoustic Bass,24
F2,F,Acoustic Bass,25
F2,F,Acoustic Bass,26
B-1,B-,Acoustic Bass,27
F1,F,Acoustic Bass,28
A1,A,Acoustic Bass,29
C2,C,Acoustic Bass,30
C2,C,Acoustic Bass,31
F2,F,Acoustic Bass,32
F2,F,Acoustic Bass,33
F2,F,Acoustic Bass,34
F2,F,Acoustic Bass,35
E-2,E-,Acoustic Bass,36
D2,D,Acoustic Bass,37
G2,G,Acoustic Bass,38
C2,C,Acoustic Bass,39
C2,C,Acoustic Bass,40
F2,F,Acoustic Bass,41
B-1,B-,Acoustic Bass,42
D2,D,Acoustic Bass,43
F2,F,Acoustic Bass,44
F2,F,Acoustic Bass,45
F2,F,Acoustic Bass,46
B-1,B-,Acoustic Bass,47
B-1,B-,Acoustic Bass,48
B-1,B-,Acoustic Bass,49
F2,F,Acoustic Bass,50
F2,F,Acoustic Bass,51
F2,F,Acoustic Bass,52
F2,F,Acoustic Bass,53
A1,A,Acoustic Bass,54
B-1,B-,Acoustic Bass,55
