NoteOctave,Note,Instrument,Position
G4,G,Trumpet,0
C5,C,Trumpet,1
G4,G,Trumpet,2
E4,E,Trumpet,3
G4,G,Trumpet,4
C5,C,Trumpet,5
C5,C,Trumpet,6
C5,C,Trumpet,7
E5,E,Trumpet,8
D5,D,Trumpet,9
C5,C,Trumpet,10
B4,B,Trumpet,11
C5,C,Trumpet,12
D5,D,Trumpet,13
G4,G,Trumpet,14
C5,C,Trumpet,15
G4,G,Trumpet,16
E4,E,Trumpet,17
C4,C,Trumpet,18
G4,G,Trumpet,19
G4,G,Trumpet,20
G4,G,Trumpet,21
E5,E,Trumpet,22
D5,D,Trumpet,23
C5,C,Trumpet,24
B4,B,Trumpet,25
A4,A,Trumpet,26
G4,G,Trumpet,27
G4,G,Trumpet,28
A4,A,Trumpet,29
B4,B,Trumpet,30
C5,C,Trumpet,31
A4,A,Trumpet,32
G4,G,Trumpet,33
E4,E,Trumpet,34
E4,E,Trumpet,35
G4,G,Trumpet,36
A4,A,Trumpet,37
C5,C,Trumpet,38
F5,F,Trumpet,39
E5,E,Trumpet,40
D5,D,Trumpet,41
G4,G,Trumpet,42
A4,A,Trumpet,43
B4,B,Trumpet,44
C5,C,Trumpet,45
A4,A,Trumpet,46
G4,G,Trumpet,47
C5,C,Trumpet,48
C5,C,Trumpet,49
D5,D,Trumpet,50
E5,E,Trumpet,51
C5,C,Trumpet,52
D5,D,Trumpet,53
B4,B,Trumpet,54
C5,C,Trumpet,55
E5,E,Trumpet,56
F5,F,Trumpet,57
E5,E,Trumpet,58
D5,D,Trumpet,59
C5,C,Trumpet,60
B4,B,Trumpet,61
A4,A,Trumpet,62
G4,G,Trumpet,63
C5,C,Trumpet,64
E5,E,Trumpet,65
C5,C,Trumpet,66
D5,D,Trumpet,67
B4,B,Trumpet,68
C5,C,Trumpet,69
G3,G,Horn,0
C4,C,Horn,1
G3,G,Horn,2
E3,E,Horn,3
G3,G,Horn,4
C4,C,Horn,5
C4,C,Horn,6
C4,C,Horn,7
B4,B,Horn,8
C4,C,Horn,9
G4,G,Horn,10
E4,E,Horn,11
D4,D,Horn,12
G4,G,Horn,13
B4,B,Horn,14
D4,D,Horn,15
G4,G,Horn,16
C5,C,Horn,17
G4,G,Horn,18
E4,E,Horn,19
C4,C,Horn,20
G3,G,Horn,21
G3,G,Horn,22
G3,G,Horn,23
C5,C,Horn,24
G4,G,Horn,25
B4,B,Horn,26
D4,D,Horn,27
E4,E,Horn,28
G4,G,Horn,29
F#4,F#,Horn,30
B3,B,Horn,31
C4,C,Horn,32
G3,G,Horn,33
C4,C,Horn,34
F4,F,Horn,35
G4,G,Horn,36
C4,C,Horn,37
G4,G,Horn,38
A4,A,Horn,39
C4,C,Horn,40
F4,F,Horn,41
C4,C,Horn,42
C4,C,Horn,43
G3,G,Horn,44
F4,F,Horn,45
C4,C,Horn,46
G4,G,Horn,47
C4,C,Horn,48
F4,F,Horn,49
A4,A,Horn,50
B4,B,Horn,51
C5,C,Horn,52
G4,G,Horn,53
