NoteOctave,Note,Instrument,Position
B-3,B-,Trumpet,0
D4,D,Trumpet,1
E-4,E-,Trumpet,2
F4,F,Trumpet,3
G4,G,Trumpet,4
E-4,E-,Trumpet,5
F4,F,Trumpet,6
B-4,B-,Trumpet,7
B-4,B-,Trumpet,8
F4,F,Trumpet,9
F4,F,Trumpet,10
G4,G,Trumpet,11
E-4,E-,Trumpet,12
D4,D,Trumpet,13
E-4,E-,Trumpet,14
D4,D,Trumpet,15
C4,C,Trumpet,16
D4,D,Trumpet,17
D4,D,Trumpet,18
E-4,E-,Trumpet,19
C4,C,Trumpet,20
D4,D,Trumpet,21
F4,F,Trumpet,22
G4,G,Trumpet,23
A4,A,Trumpet,24
B-4,B-,Trumpet,25
A4,A,Trumpet,26
G4,G,Trumpet,27
F4,F,Trumpet,28
E-4,E-,Trumpet,29
D4,D,Trumpet,30
F4,F,Trumpet,31
F4,F,Trumpet,32
E-4,E-,Trumpet,33
D4,D,Trumpet,34
E-4,E-,Trumpet,35
D4,D,Trumpet,36
C4,C,Trumpet,37
B-3,B-,Trumpet,38
C4,C,Trumpet,39
C4,C,Trumpet,40
C#4,C#,Trumpet,41
E-4,E-,Trumpet,42
F4,F,Trumpet,43
F4,F,Trumpet,44
G4,G,Trumpet,45
A4,A,Trumpet,46
B-4,B-,Trumpet,47
E-4,E-,Trumpet,48
F4,F,Trumpet,49
A4,A,Trumpet,50
A4,A,Trumpet,51
B-4,B-,Trumpet,52
C5,C,Trumpet,53
C#5,C#,Trumpet,54
C5,C,Trumpet,55
B-4,B-,Trumpet,56
C5,C,Trumpet,57
A4,A,Trumpet,58
B-4,B-,Trumpet,59
F4,F,Trumpet,60
E-4,E-,Trumpet,61
D4,D,Trumpet,62
E-4,E-,Trumpet,63
E-4,E-,Trumpet,64
D4,D,Trumpet,65
C4,C,Trumpet,66
B-3,B-,Trumpet,67
B-3,B-,Trumpet,68
B-3,B-,Trumpet,69
D4,D,Trumpet,70
E-4,E-,Trumpet,71
F4,F,Trumpet,72
F4,F,Trumpet,73
G4,G,Trumpet,74
E-4,E-,Trumpet,75
F4,F,Trumpet,76
B-4,B-,Trumpet,77
B-4,B-,Trumpet,78
F4,F,Trumpet,79
F4,F,Trumpet,80
G4,G,Trumpet,81
G4,G,Trumpet,82
E-4,E-,Trumpet,83
D4,D,Trumpet,84
C4,C,Trumpet,85
D4,D,Trumpet,86
D4,D,Trumpet,87
E-4,E-,Trumpet,88
C4,C,Trumpet,89
D4,D,Trumpet,90
F4,F,Trumpet,91
G4,G,Trumpet,92
A4,A,Trumpet,93
B-4,B-,Trumpet,94
A4,A,Trumpet,95
G4,G,Trumpet,96
F4,F,Trumpet,97
E-4,E-,Trumpet,98
D4,D,Trumpet,99
F4,F,Trumpet,100
F4,F,Trumpet,101
E-4,E-,Trumpet,102
D4,D,Trumpet,103
E-4,E-,Trumpet,104
D4,D,Trumpet,105
C4,C,Trumpet,106
B-3,B-,Trumpet,107
B-3,B-,Horn,0
B-3,B-,Horn,1
A3,A,Horn,2
B-3,B-,Horn,3
B-3,B-,Horn,4
B-3,B-,Horn,5
A3,A,Horn,6
G3,G,Horn,7
A3,A,Horn,8
D4,D,Horn,9
G3,G,Horn,10
F3,F,Horn,11
E-3,E-,Horn,12
B-3,B-,Horn,13
A3,A,Horn,14
B-3,B-,Horn,15
B-3,B-,Horn,16
C4,C,Horn,17
D4,D,Horn,18
B-3,B-,Horn,19
F3,F,Horn,20
B-3,B-,Horn,21
A3,A,Horn,22
F3,F,Horn,23
B-3,B-,Horn,24
B-3,B-,Horn,25
G#3,G#,Horn,26
F#3,F#,Horn,27
B-3,B-,Horn,28
A3,A,Horn,29
F3,F,Horn,30
B-3,B-,Horn,31
E-4,E-,Horn,32
B-3,B-,Horn,33
F4,F,Horn,34
E-4,E-,Horn,35
C#4,C#,Horn,36
C4,C,Horn,37
B-3,B-,Horn,38
A3,A,Horn,39
F4,F,Horn,40
E-4,E-,Horn,41
A4,A,Horn,42
B-4,B-,Horn,43
A4,A,Horn,44
G4,G,Horn,45
A4,A,Horn,46
F4,F,Horn,47
D4,D,Horn,48
B-3,B-,Horn,49
B-3,B-,Horn,50
B-3,B-,Horn,51
A3,A,Horn,52
B-3,B-,Horn,53
F3,F,Horn,54
G3,G,Horn,55
A3,A,Horn,56
B-3,B-,Horn,57
A3,A,Horn,58
B-3,B-,Horn,59
B-3,B-,Horn,60
E-4,E-,Horn,61
D4,D,Horn,62
C4,C,Horn,63
B-3,B-,Horn,64
D4,D,Horn,65
A3,A,Horn,66
B-3,B-,Horn,67
A3,A,Horn,68
C4,C,Horn,69
G3,G,Horn,70
F3,F,Horn,71
E-3,E-,Horn,72
F3,F,Horn,73
A3,A,Horn,74
B-3,B-,Horn,75
B-3,B-,Horn,76
G4,G,Horn,77
D4,D,Horn,78
C4,C,Horn,79
D4,D,Horn,80
F3,F,Horn,81
B-3,B-,Horn,82
G3,G,Horn,83
A3,A,Horn,84
D3,D,Bass Trombone,0
G3,G,Bass Trombone,1
F3,F,Bass Trombone,2
E-3,E-,Bass Trombone,3
D3,D,Bass Trombone,4
C3,C,Bass Trombone,5
B-2,B-,Bass Trombone,6
A2,A,Bass Trombone,7
G2,G,Bass Trombone,8
F2,F,Bass Trombone,9
E-3,E-,Bass Trombone,10
C3,C,Bass Trombone,11
F3,F,Bass Trombone,12
E-3,E-,Bass Trombone,13
D3,D,Bass Trombone,14
C3,C,Bass Trombone,15
B-2,B-,Bass Trombone,16
F3,F,Bass Trombone,17
B-2,B-,Bass Trombone,18
E-3,E-,Bass Trombone,19
F3,F,Bass Trombone,20
G3,G,Bass Trombone,21
A3,A,Bass Trombone,22
B-3,B-,Bass Trombone,23
