NoteOctave,Note,Instrument,Position
F4,F,Trumpet,0
B-4,B-,Trumpet,1
B-4,B-,Trumpet,2
C5,C,Trumpet,3
B-4,B-,Trumpet,4
B-4,B-,Trumpet,5
B-4,B-,Trumpet,6
A4,A,Trumpet,7
A4,A,Trumpet,8
B-4,B-,Trumpet,9
C5,C,Trumpet,10
A4,A,Trumpet,11
B-4,B-,Trumpet,12
C5,C,Trumpet,13
D5,D,Trumpet,14
D5,D,Trumpet,15
D5,D,Trumpet,16
D5,D,Trumpet,17
B-4,B-,Trumpet,18
D5,D,Trumpet,19
C5,C,Trumpet,20
C5,C,Trumpet,21
B-4,B-,Trumpet,22
A4,A,Trumpet,23
B-4,B-,Trumpet,24
C5,C,Trumpet,25
C5,C,Trumpet,26
D5,D,Trumpet,27
D5,D,Trumpet,28
C5,C,Trumpet,29
F4,F,Trumpet,30
F4,F,Trumpet,31
B-4,B-,Trumpet,32
B-4,B-,Trumpet,33
B-4,B-,Trumpet,34
B-4,B-,Trumpet,35
B-4,B-,Trumpet,36
C5,C,Trumpet,37
D5,D,Trumpet,38
D5,D,Trumpet,39
D5,D,Trumpet,40
C5,C,Trumpet,41
B-4,B-,Trumpet,42
A4,A,Trumpet,43
B-4,B-,Trumpet,44
C5,C,Trumpet,45
C5,C,Trumpet,46
C5,C,Trumpet,47
C5,C,Trumpet,48
C5,C,Trumpet,49
B-4,B-,Trumpet,50
A4,A,Trumpet,51
B-4,B-,Trumpet,52
A4,A,Trumpet,53
G4,G,Trumpet,54
F4,F,Trumpet,55
F4,F,Trumpet,56
B-4,B-,Trumpet,57
B-4,B-,Trumpet,58
B-4,B-,Trumpet,59
A4,A,Trumpet,60
A4,A,Trumpet,61
G4,G,Trumpet,62
G4,G,Trumpet,63
G4,G,Trumpet,64
C5,C,Trumpet,65
C5,C,Trumpet,66
C5,C,Trumpet,67
B-4,B-,Trumpet,68
A4,A,Trumpet,69
F4,F,Trumpet,70
B-4,B-,Trumpet,71
B-4,B-,Trumpet,72
B-4,B-,Trumpet,73
B-4,B-,Trumpet,74
C5,C,Trumpet,75
D5,D,Trumpet,76
D5,D,Trumpet,77
E-5,E-,Trumpet,78
E-5,E-,Trumpet,79
D5,D,Trumpet,80
D5,D,Trumpet,81
D5,D,Trumpet,82
C5,C,Trumpet,83
B-4,B-,Trumpet,84
E-4,E-,Horn,0
G4,G,Horn,1
C4,C,Horn,2
F4,F,Horn,3
B-3,B-,Horn,4
C4,C,Horn,5
A4,A,Horn,6
B-3,B-,Horn,7
F4,F,Horn,8
C4,C,Horn,9
F4,F,Horn,10
A4,A,Horn,11
F#4,F#,Horn,12
C5,C,Horn,13
B-4,B-,Horn,14
A4,A,Horn,15
D4,D,Horn,16
D4,D,Horn,17
G4,G,Horn,18
G4,G,Horn,19
D4,D,Horn,20
A4,A,Horn,21
E-4,E-,Horn,22
A3,A,Horn,23
B-3,B-,Horn,24
D4,D,Horn,25
E-4,E-,Horn,26
F4,F,Horn,27
B-3,B-,Horn,28
D4,D,Horn,29
B-3,B-,Horn,30
B-3,B-,Horn,31
G4,G,Horn,32
F4,F,Horn,33
F#4,F#,Horn,34
D4,D,Horn,35
A4,A,Horn,36
G4,G,Horn,37
D4,D,Horn,38
C4,C,Horn,39
G4,G,Horn,40
C4,C,Horn,41
E4,E,Horn,42
C4,C,Horn,43
F4,F,Horn,44
C4,C,Horn,45
G4,G,Horn,46
D4,D,Horn,47
F4,F,Horn,48
F4,F,Horn,49
C4,C,Horn,50
E4,E,Horn,51
B-3,B-,Horn,52
D4,D,Horn,53
F4,F,Horn,54
F4,F,Horn,55
D4,D,Horn,56
F4,F,Horn,57
B-3,B-,Horn,58
B-3,B-,Horn,59
E-4,E-,Horn,60
E-4,E-,Horn,61
B-3,B-,Horn,62
C4,C,Horn,63
E4,E,Horn,64
G4,G,Horn,65
C4,C,Horn,66
C4,C,Horn,67
E4,E,Horn,68
C4,C,Horn,69
F4,F,Horn,70
B-3,B-,Horn,71
B-3,B-,Horn,72
D4,D,Horn,73
E-4,E-,Horn,74
F4,F,Horn,75
G4,G,Horn,76
E-4,E-,Horn,77
F4,F,Horn,78
B-4,B-,Horn,79
E-4,E-,Horn,80
B-4,B-,Horn,81
F4,F,Horn,82
D4,D,Horn,83
E-4,E-,Horn,84
A4,A,Horn,85
F3,F,Bass Trombone,0
B-3,B-,Bass Trombone,1
B-2,B-,Bass Trombone,2
F3,F,Bass Trombone,3
F3,F,Bass Trombone,4
F3,F,Bass Trombone,5
F3,F,Bass Trombone,6
E-3,E-,Bass Trombone,7
D3,D,Bass Trombone,8
C3,C,Bass Trombone,9
B-2,B-,Bass Trombone,10
F3,F,Bass Trombone,11
B-3,B-,Bass Trombone,12
A3,A,Bass Trombone,13
G3,G,Bass Trombone,14
F#3,F#,Bass Trombone,15
G3,G,Bass Trombone,16
G3,G,Bass Trombone,17
G3,G,Bass Trombone,18
E3,E,Bass Trombone,19
C3,C,Bass Trombone,20
F3,F,Bass Trombone,21
G3,G,Bass Trombone,22
F3,F,Bass Trombone,23
E-3,E-,Bass Trombone,24
D3,D,Bass Trombone,25
C3,C,Bass Trombone,26
