NoteOctave,Note,Instrument,Position
C5,C,Shakuhachi,0
G4,G,Shakuhachi,1
B-4,B-,Shakuhachi,2
E-5,E-,Shakuhachi,3
A4,A,Shakuhachi,4
F4,F,Shakuhachi,5
G#4,G#,Shakuhachi,6
F4,F,Shakuhachi,7
C5,C,Shakuhachi,8
C5,C,Shakuhachi,9
E-3,E-,Clavichord,0
E-3,E-,Clavichord,1
E-3,E-,Clavichord,2
B-2,B-,Clavichord,3
C3,C,Clavichord,4
B-2,B-,Clavichord,5
E-3,E-,Clavichord,6
G2,G,Clavichord,7
B-2,B-,Clavichord,8
E-3,E-,Clavichord,9
D3,D,Clavichord,10
E-3,E-,Clavichord,11
A3,A,Clavichord,12
B-3,B-,Clavichord,13
B-2,B-,Clavichord,14
F3,F,Clavichord,15
B-2,B-,Clavichord,16
F2,F,Clavichord,17
F2,F,Clavichord,18
B-2,B-,Clavichord,19
B-2,B-,Clavichord,20
B-2,B-,Clavichord,21
E-3,E-,Clavichord,22
B-3,B-,Clavichord,23
E-3,E-,Clavichord,24
B-2,B-,Clavichord,25
B-2,B-,Clavichord,26
E-3,E-,Clavichord,27
B-2,B-,Clavichord,28
B-2,B-,Clavichord,29
E-3,E-,Clavichord,30
D3,D,Clavichord,31
E3,E,Clavichord,32
F3,F,Clavichord,33
B-2,B-,Clavichord,34
B-2,B-,Clavichord,35
B-2,B-,Clavichord,36
B-2,B-,Clavichord,37
B-2,B-,Clavichord,38
E-4,E-,Bass clarinet,0
G4,G,Bass clarinet,1
B-4,B-,Bass clarinet,2
B-4,B-,Bass clarinet,3
C5,C,Bass clarinet,4
B-4,B-,Bass clarinet,5
E-5,E-,Bass clarinet,6
B-4,B-,Bass clarinet,7
C5,C,Bass clarinet,8
B-4,B-,Bass clarinet,9
F4,F,Bass clarinet,10
G4,G,Bass clarinet,11
G#4,G#,Bass clarinet,12
B-4,B-,Bass clarinet,13
G4,G,Bass clarinet,14
E-4,E-,Bass clarinet,15
G4,G,Bass clarinet,16
B-4,B-,Bass clarinet,17
B-4,B-,Bass clarinet,18
C5,C,Bass clarinet,19
B-4,B-,Bass clarinet,20
E-5,E-,Bass clarinet,21
D5,D,Bass clarinet,22
B-4,B-,Bass clarinet,23
G4,G,Bass clarinet,24
F4,F,Bass clarinet,25
B-4,B-,Bass clarinet,26
A4,A,Bass clarinet,27
C5,C,Bass clarinet,28
B-4,B-,Bass clarinet,29
F4,F,Bass clarinet,30
G4,G,Bass clarinet,31
G#4,G#,Bass clarinet,32
G4,G,Bass clarinet,33
G#4,G#,Bass clarinet,34
C5,C,Bass clarinet,35
B-4,B-,Bass clarinet,36
G4,G,Bass clarinet,37
F4,F,Bass clarinet,38
G4,G,Bass clarinet,39
G#4,G#,Bass clarinet,40
G4,G,Bass clarinet,41
G#4,G#,Bass clarinet,42
C5,C,Bass clarinet,43
B-4,B-,Bass clarinet,44
B-4,B-,Bass clarinet,45
B-4,B-,Bass clarinet,46
E-5,E-,Bass clarinet,47
D5,D,Bass clarinet,48
C5,C,Bass clarinet,49
B-4,B-,Bass clarinet,50
G#4,G#,Bass clarinet,51
B-4,B-,Bass clarinet,52
C5,C,Bass clarinet,53
C5,C,Bass clarinet,54
C5,C,Bass clarinet,55
B-4,B-,Bass clarinet,56
G4,G,Bass clarinet,57
B-4,B-,Bass clarinet,58
G#4,G#,Bass clarinet,59
F4,F,Bass clarinet,60
E-4,E-,Bass clarinet,61
