NoteOctave,Note,Instrument,Position
F4,F,Trumpet,0
E-4,E-,Trumpet,1
D4,D,Trumpet,2
C4,C,Trumpet,3
B-3,B-,Trumpet,4
C4,C,Trumpet,5
D4,D,Trumpet,6
E-4,E-,Trumpet,7
F4,F,Trumpet,8
G4,G,Trumpet,9
F4,F,Trumpet,10
E-4,E-,Trumpet,11
D4,D,Trumpet,12
G4,G,Trumpet,13
F4,F,Trumpet,14
E-4,E-,Trumpet,15
D4,D,Trumpet,16
C4,C,Trumpet,17
D4,D,Trumpet,18
E-4,E-,Trumpet,19
F4,F,Trumpet,20
F4,F,Trumpet,21
G4,G,Trumpet,22
G4,G,Trumpet,23
A4,A,Trumpet,24
B-4,B-,Trumpet,25
B-4,B-,Trumpet,26
B-4,B-,Trumpet,27
A4,A,Trumpet,28
A4,A,Trumpet,29
G4,G,Trumpet,30
G4,G,Trumpet,31
F4,F,Trumpet,32
D4,D,Trumpet,33
G4,G,Trumpet,34
G4,G,Trumpet,35
F4,F,Trumpet,36
F4,F,Trumpet,37
E-4,E-,Trumpet,38
F4,F,Trumpet,39
F4,F,Trumpet,40
F4,F,Trumpet,41
G4,G,Trumpet,42
G4,G,Trumpet,43
A4,A,Trumpet,44
A4,A,Trumpet,45
B-4,B-,Trumpet,46
B-4,B-,Trumpet,47
B-4,B-,Trumpet,48
A4,A,Trumpet,49
B-4,B-,Trumpet,50
C5,C,Trumpet,51
C5,C,Trumpet,52
C5,C,Trumpet,53
C5,C,Trumpet,54
D5,D,Trumpet,55
E-5,E-,Trumpet,56
D5,D,Trumpet,57
C5,C,Trumpet,58
B-4,B-,Trumpet,59
A4,A,Trumpet,60
G4,G,Trumpet,61
F4,F,Trumpet,62
G4,G,Trumpet,63
G4,G,Trumpet,64
A4,A,Trumpet,65
B-4,B-,Trumpet,66
A3,A,Horn,0
B-3,B-,Horn,1
B-3,B-,Horn,2
D4,D,Horn,3
E-4,E-,Horn,4
C4,C,Horn,5
C4,C,Horn,6
B-3,B-,Horn,7
B3,B,Horn,8
C4,C,Horn,9
C4,C,Horn,10
D4,D,Horn,11
D4,D,Horn,12
E-4,E-,Horn,13
E-4,E-,Horn,14
D4,D,Horn,15
G4,G,Horn,16
G4,G,Horn,17
F4,F,Horn,18
F4,F,Horn,19
D4,D,Horn,20
D4,D,Horn,21
D4,D,Horn,22
D4,D,Horn,23
E-4,E-,Horn,24
E-4,E-,Horn,25
D4,D,Horn,26
