NoteOctave,Note,Instrument,Position
E2,E,Acoustic Bass,0
E2,E,Acoustic Bass,1
E2,E,Acoustic Bass,2
E2,E,Acoustic Bass,3
E2,E,Acoustic Bass,4
A2,A,Acoustic Bass,5
E3,E,Acoustic Bass,6
A2,A,Acoustic Bass,7
E3,E,Acoustic Bass,8
A2,A,Acoustic Bass,9
E3,E,Acoustic Bass,10
A2,A,Acoustic Bass,11
A2,A,Acoustic Bass,12
E3,E,Acoustic Bass,13
C#3,C#,Acoustic Bass,14
B2,B,Acoustic Bass,15
E3,E,Acoustic Bass,16
A2,A,Acoustic Bass,17
B2,B,Acoustic Bass,18
E3,E,Acoustic Bass,19
F#2,F#,Acoustic Bass,20
B2,B,Acoustic Bass,21
F#2,F#,Acoustic Bass,22
B2,B,Acoustic Bass,23
B2,B,Acoustic Bass,24
E2,E,Acoustic Bass,25
E2,E,Acoustic Bass,26
A2,A,Acoustic Bass,27
B2,B,Acoustic Bass,28
C#3,C#,Acoustic Bass,29
A2,A,Acoustic Bass,30
E3,E,Acoustic Bass,31
C#3,C#,Acoustic Bass,32
D3,D,Acoustic Bass,33
E3,E,Acoustic Bass,34
A2,A,Acoustic Bass,35
C#3,C#,Acoustic Bass,36
F#2,F#,Acoustic Bass,37
F#2,F#,Acoustic Bass,38
F#2,F#,Acoustic Bass,39
A2,A,Acoustic Bass,40
F#2,F#,Acoustic Bass,41
F#2,F#,Acoustic Bass,42
F#2,F#,Acoustic Bass,43
F#2,F#,Acoustic Bass,44
B2,B,Acoustic Bass,45
C#3,C#,Acoustic Bass,46
D3,D,Acoustic Bass,47
D3,D,Acoustic Bass,48
A3,A,Acoustic Bass,49
B3,B,Acoustic Bass,50
A2,A,Acoustic Bass,51
C#3,C#,Acoustic Bass,52
F#2,F#,Acoustic Bass,53
C#3,C#,Acoustic Bass,54
F#2,F#,Acoustic Bass,55
F#3,F#,Acoustic Bass,56
G#3,G#,Acoustic Bass,57
F#2,F#,Acoustic Bass,58
A3,A,Acoustic Bass,59
B3,B,Acoustic Bass,60
E3,E,Acoustic Bass,61
E2,E,Acoustic Bass,62
A2,A,Acoustic Bass,63
A2,A,Acoustic Bass,64
D2,D,Acoustic Bass,65
E2,E,Acoustic Bass,66
A2,A,Acoustic Bass,67
E2,E,Acoustic Bass,68
F#2,F#,Acoustic Bass,69
D3,D,Acoustic Bass,70
C#3,C#,Acoustic Bass,71
A2,A,Acoustic Bass,72
C#2,C#,Acoustic Bass,73
C#2,C#,Acoustic Bass,74
E2,E,Acoustic Bass,75
B2,B,Acoustic Bass,76
C#3,C#,Acoustic Bass,77
B2,B,Acoustic Bass,78
B2,B,Acoustic Bass,79
F#2,F#,Acoustic Bass,80
C#3,C#,Acoustic Bass,81
D3,D,Acoustic Bass,82
G#3,G#,Acoustic Bass,83
A3,A,Acoustic Bass,84
B2,B,Acoustic Bass,85
E3,E,Acoustic Bass,86
A2,A,Acoustic Bass,87
D3,D,Acoustic Bass,88
A2,A,Acoustic Bass,89
E4,E,Horn,0
A4,A,Horn,1
A4,A,Horn,2
A4,A,Horn,3
A4,A,Horn,4
E4,E,Horn,5
A4,A,Horn,6
C#5,C#,Horn,7
