NoteOctave,Note,Instrument,Position
G4,G,Horn,0
G4,G,Horn,1
A4,A,Horn,2
F#4,F#,Horn,3
G4,G,Horn,4
A4,A,Horn,5
B4,B,Horn,6
B4,B,Horn,7
C5,C,Horn,8
B4,B,Horn,9
A4,A,Horn,10
G4,G,Horn,11
A4,A,Horn,12
G4,G,Horn,13
F#4,F#,Horn,14
G4,G,Horn,15
D5,D,Horn,16
D5,D,Horn,17
D5,D,Horn,18
D5,D,Horn,19
C5,C,Horn,20
B4,B,Horn,21
C5,C,Horn,22
C5,C,Horn,23
C5,C,Horn,24
C5,C,Horn,25
B4,B,Horn,26
A4,A,Horn,27
B4,B,Horn,28
C5,C,Horn,29
B4,B,Horn,30
A4,A,Horn,31
G4,G,Horn,32
B4,B,Horn,33
C5,C,Horn,34
D5,D,Horn,35
E5,E,Horn,36
C5,C,Horn,37
B4,B,Horn,38
A4,A,Horn,39
G4,G,Horn,40
G2,G,Acoustic Bass,0
E2,E,Acoustic Bass,1
C2,C,Acoustic Bass,2
D2,D,Acoustic Bass,3
E2,E,Acoustic Bass,4
F#2,F#,Acoustic Bass,5
G2,G,Acoustic Bass,6
F2,F,Acoustic Bass,7
E2,E,Acoustic Bass,8
D2,D,Acoustic Bass,9
F#2,F#,Acoustic Bass,10
G2,G,Acoustic Bass,11
C2,C,Acoustic Bass,12
D2,D,Acoustic Bass,13
D2,D,Acoustic Bass,14
G2,G,Acoustic Bass,15
G2,G,Acoustic Bass,16
B2,B,Acoustic Bass,17
D3,D,Acoustic Bass,18
G3,G,Acoustic Bass,19
B3,B,Acoustic Bass,20
G1,G,Acoustic Bass,21
B1,B,Acoustic Bass,22
D2,D,Acoustic Bass,23
G2,G,Acoustic Bass,24
D3,D,Acoustic Bass,25
G2,G,Acoustic Bass,26
D2,D,Acoustic Bass,27
F#2,F#,Acoustic Bass,28
A2,A,Acoustic Bass,29
D3,D,Acoustic Bass,30
D3,D,Acoustic Bass,31
D3,D,Acoustic Bass,32
G2,G,Acoustic Bass,33
F#2,F#,Acoustic Bass,34
E2,E,Acoustic Bass,35
D2,D,Acoustic Bass,36
C2,C,Acoustic Bass,37
B1,B,Acoustic Bass,38
G1,G,Acoustic Bass,39
A1,A,Acoustic Bass,40
B1,B,Acoustic Bass,41
C2,C,Acoustic Bass,42
A1,A,Acoustic Bass,43
D2,D,Acoustic Bass,44
D2,D,Acoustic Bass,45
G2,G,Acoustic Bass,46
G1,G,Acoustic Bass,47
