NoteOctave,Note,Instrument,Position
D4,D,Trumpet,0
G4,G,Trumpet,1
D4,D,Trumpet,2
B3,B,Trumpet,3
D4,D,Trumpet,4
G4,G,Trumpet,5
A4,A,Trumpet,6
B4,B,Trumpet,7
G4,G,Trumpet,8
G4,G,Trumpet,9
F#4,F#,Trumpet,10
G4,G,Trumpet,11
A4,A,Trumpet,12
G#4,G#,Trumpet,13
A4,A,Trumpet,14
D5,D,Trumpet,15
B4,B,Trumpet,16
D4,D,Trumpet,17
G4,G,Trumpet,18
D4,D,Trumpet,19
B3,B,Trumpet,20
D4,D,Trumpet,21
G4,G,Trumpet,22
A4,A,Trumpet,23
B4,B,Trumpet,24
G4,G,Trumpet,25
G4,G,Trumpet,26
F#4,F#,Trumpet,27
E4,E,Trumpet,28
A4,A,Trumpet,29
G4,G,Trumpet,30
E4,E,Trumpet,31
F#4,F#,Trumpet,32
D4,D,Trumpet,33
D4,D,Trumpet,34
A4,A,Trumpet,35
A4,A,Trumpet,36
G#4,G#,Trumpet,37
A4,A,Trumpet,38
B4,B,Trumpet,39
C5,C,Trumpet,40
D5,D,Trumpet,41
B4,B,Trumpet,42
G4,G,Trumpet,43
G4,G,Trumpet,44
G4,G,Trumpet,45
G4,G,Trumpet,46
A4,A,Trumpet,47
B4,B,Trumpet,48
C5,C,Trumpet,49
D5,D,Trumpet,50
E5,E,Trumpet,51
E5,E,Trumpet,52
D5,D,Trumpet,53
B4,B,Trumpet,54
C5,C,Trumpet,55
A4,A,Trumpet,56
B4,B,Trumpet,57
A4,A,Trumpet,58
B4,B,Trumpet,59
C5,C,Trumpet,60
D5,D,Trumpet,61
E5,E,Trumpet,62
D5,D,Trumpet,63
B4,B,Trumpet,64
C5,C,Trumpet,65
B4,B,Trumpet,66
A4,A,Trumpet,67
A4,A,Trumpet,68
G4,G,Trumpet,69
D4,D,Horn,0
D4,D,Horn,1
B3,B,Horn,2
D4,D,Horn,3
B3,B,Horn,4
B3,B,Horn,5
D4,D,Horn,6
B3,B,Horn,7
D4,D,Horn,8
G4,G,Horn,9
D4,D,Horn,10
B3,B,Horn,11
B3,B,Horn,12
F#4,F#,Horn,13
D4,D,Horn,14
F4,F,Horn,15
F#4,F#,Horn,16
F#4,F#,Horn,17
A4,A,Horn,18
B3,B,Horn,19
D4,D,Horn,20
B3,B,Horn,21
B3,B,Horn,22
