NoteOctave,Note,Instrument,Position
B-4,B-,Trumpet,0
C5,C,Trumpet,1
D5,D,Trumpet,2
B-4,B-,Trumpet,3
F4,F,Trumpet,4
F4,F,Trumpet,5
G4,G,Trumpet,6
G4,G,Trumpet,7
E-4,E-,Trumpet,8
G4,G,Trumpet,9
F4,F,Trumpet,10
F4,F,Trumpet,11
B-4,B-,Trumpet,12
A4,A,Trumpet,13
G4,G,Trumpet,14
A4,A,Trumpet,15
B-4,B-,Trumpet,16
C5,C,Trumpet,17
D5,D,Trumpet,18
C5,C,Trumpet,19
G4,G,Trumpet,20
A4,A,Trumpet,21
B-4,B-,Trumpet,22
C5,C,Trumpet,23
D5,D,Trumpet,24
B-4,B-,Trumpet,25
F4,F,Trumpet,26
F4,F,Trumpet,27
G4,G,Trumpet,28
G4,G,Trumpet,29
E-4,E-,Trumpet,30
G4,G,Trumpet,31
F4,F,Trumpet,32
F4,F,Trumpet,33
F4,F,Trumpet,34
A4,A,Trumpet,35
A4,A,Trumpet,36
A4,A,Trumpet,37
A4,A,Trumpet,38
A4,A,Trumpet,39
G4,G,Trumpet,40
G4,G,Trumpet,41
F4,F,Trumpet,42
F4,F,Trumpet,43
E-4,E-,Trumpet,44
E-4,E-,Trumpet,45
E-4,E-,Trumpet,46
C4,C,Trumpet,47
D4,D,Trumpet,48
E-4,E-,Trumpet,49
F4,F,Trumpet,50
G4,G,Trumpet,51
F4,F,Trumpet,52
B-4,B-,Trumpet,53
A4,A,Trumpet,54
G4,G,Trumpet,55
A4,A,Trumpet,56
G4,G,Trumpet,57
F4,F,Trumpet,58
E-4,E-,Trumpet,59
C4,C,Trumpet,60
F4,F,Trumpet,61
D4,D,Trumpet,62
B-3,B-,Trumpet,63
D4,D,Trumpet,64
F4,F,Trumpet,65
F4,F,Trumpet,66
G4,G,Trumpet,67
A4,A,Trumpet,68
B-4,B-,Trumpet,69
C5,C,Trumpet,70
D5,D,Trumpet,71
B-4,B-,Trumpet,72
G4,G,Trumpet,73
F4,F,Trumpet,74
B-4,B-,Trumpet,75
D5,D,Trumpet,76
C5,C,Trumpet,77
B-4,B-,Trumpet,78
B-4,B-,Trumpet,79
F4,F,Horn,0
E-4,E-,Horn,1
F4,F,Horn,2
B-4,B-,Horn,3
F4,F,Horn,4
D4,D,Horn,5
B-3,B-,Horn,6
D4,D,Horn,7
B-3,B-,Horn,8
B-3,B-,Horn,9
B-3,B-,Horn,10
E-4,E-,Horn,11
E-4,E-,Horn,12
B-3,B-,Horn,13
B-3,B-,Horn,14
G3,G,Horn,15
E-4,E-,Horn,16
B-3,B-,Horn,17
B-3,B-,Horn,18
D4,D,Horn,19
B-3,B-,Horn,20
G4,G,Horn,21
D4,D,Horn,22
F#4,F#,Horn,23
D4,D,Horn,24
C4,C,Horn,25
B-3,B-,Horn,26
D4,D,Horn,27
B-3,B-,Horn,28
C4,C,Horn,29
F4,F,Horn,30
E4,E,Horn,31
C4,C,Horn,32
F4,F,Horn,33
C4,C,Horn,34
E-4,E-,Horn,35
C4,C,Horn,36
E-4,E-,Horn,37
B-3,B-,Horn,38
E-4,E-,Horn,39
F4,F,Horn,40
F4,F,Horn,41
D4,D,Horn,42
B-3,B-,Horn,43
D4,D,Horn,44
B-3,B-,Horn,45
B-3,B-,Horn,46
B-3,B-,Horn,47
E-4,E-,Horn,48
G#3,G#,Horn,49
D4,D,Horn,50
F4,F,Horn,51
A3,A,Horn,52
D4,D,Horn,53
B-3,B-,Horn,54
D4,D,Horn,55
C4,C,Horn,56
A3,A,Horn,57
A3,A,Horn,58
A3,A,Horn,59
C4,C,Horn,60
A3,A,Horn,61
B-3,B-,Horn,62
C4,C,Horn,63
A3,A,Horn,64
B-3,B-,Horn,65
A3,A,Horn,66
B-3,B-,Horn,67
A3,A,Horn,68
E4,E,Horn,69
A3,A,Horn,70
E-4,E-,Horn,71
F3,F,Horn,72
C4,C,Horn,73
A3,A,Horn,74
B-3,B-,Horn,75
F3,F,Horn,76
C4,C,Horn,77
F3,F,Horn,78
C4,C,Horn,79
F#4,F#,Horn,80
D4,D,Horn,81
E-4,E-,Horn,82
G4,G,Horn,83
E-4,E-,Horn,84
A4,A,Horn,85
E-4,E-,Horn,86
B-2,B-,Bass Trombone,0
F3,F,Bass Trombone,1
B-2,B-,Bass Trombone,2
F3,F,Bass Trombone,3
B-2,B-,Bass Trombone,4
F3,F,Bass Trombone,5
B-2,B-,Bass Trombone,6
D3,D,Bass Trombone,7
E-3,E-,Bass Trombone,8
B-2,B-,Bass Trombone,9
E-3,E-,Bass Trombone,10
E-3,E-,Bass Trombone,11
B-2,B-,Bass Trombone,12
F3,F,Bass Trombone,13
B-2,B-,Bass Trombone,14
A2,A,Bass Trombone,15
G2,G,Bass Trombone,16
D3,D,Bass Trombone,17
G2,G,Bass Trombone,18
D3,D,Bass Trombone,19
G3,G,Bass Trombone,20
G3,G,Bass Trombone,21
A3,A,Bass Trombone,22
G3,G,Bass Trombone,23
B-3,B-,Bass Trombone,24
F3,F,Bass Trombone,25
C3,C,Bass Trombone,26
F2,F,Bass Trombone,27
B-2,B-,Bass Trombone,28
F3,F,Bass Trombone,29
B-2,B-,Bass Trombone,30
F3,F,Bass Trombone,31
B-2,B-,Bass Trombone,32
F3,F,Bass Trombone,33
B-2,B-,Bass Trombone,34
D3,D,Bass Trombone,35
E-3,E-,Bass Trombone,36
B-2,B-,Bass Trombone,37
E-3,E-,Bass Trombone,38
E-3,E-,Bass Trombone,39
B-2,B-,Bass Trombone,40
F3,F,Bass Trombone,41
B-2,B-,Bass Trombone,42
B-2,B-,Bass Trombone,43
D3,D,Bass Trombone,44
D3,D,Bass Trombone,45
F3,F,Bass Trombone,46
E3,E,Bass Trombone,47
C3,C,Bass Trombone,48
C3,C,Bass Trombone,49
F3,F,Bass Trombone,50
C3,C,Bass Trombone,51
E-3,E-,Bass Trombone,52
F3,F,Bass Trombone,53
C3,C,Bass Trombone,54
D3,D,Bass Trombone,55
C3,C,Bass Trombone,56
D3,D,Bass Trombone,57
C#3,C#,Bass Trombone,58
C3,C,Bass Trombone,59
A2,A,Bass Trombone,60
F2,F,Bass Trombone,61
F3,F,Bass Trombone,62
B-2,B-,Bass Trombone,63
A2,A,Bass Trombone,64
F3,F,Bass Trombone,65
G3,G,Bass Trombone,66
E-3,E-,Bass Trombone,67
D3,D,Bass Trombone,68
E-3,E-,Bass Trombone,69
F3,F,Bass Trombone,70
D4,D,Bass Trombone,71
B-3,B-,Bass Trombone,72
F3,F,Bass Trombone,73
B-3,B-,Bass Trombone,74
F3,F,Bass Trombone,75
B-2,B-,Bass Trombone,76
B-1,B-,Tuba,0
F2,F,Tuba,1
B-1,B-,Tuba,2
F2,F,Tuba,3
B-1,B-,Tuba,4
F2,F,Tuba,5
B-1,B-,Tuba,6
D2,D,Tuba,7
E-2,E-,Tuba,8
B-1,B-,Tuba,9
E-2,E-,Tuba,10
E-1,E-,Tuba,11
B-1,B-,Tuba,12
F1,F,Tuba,13
B-1,B-,Tuba,14
A1,A,Tuba,15
G1,G,Tuba,16
D2,D,Tuba,17
G1,G,Tuba,18
D2,D,Tuba,19
G2,G,Tuba,20
G1,G,Tuba,21
C2,C,Tuba,22
G1,G,Tuba,23
C2,C,Tuba,24
F2,F,Tuba,25
C2,C,Tuba,26
F1,F,Tuba,27
B-1,B-,Tuba,28
F2,F,Tuba,29
B-1,B-,Tuba,30
F2,F,Tuba,31
B-1,B-,Tuba,32
F2,F,Tuba,33
B-1,B-,Tuba,34
D2,D,Tuba,35
E-2,E-,Tuba,36
B-1,B-,Tuba,37
E-2,E-,Tuba,38
E-2,E-,Tuba,39
B-1,B-,Tuba,40
F2,F,Tuba,41
B-1,B-,Tuba,42
B-1,B-,Tuba,43
D2,D,Tuba,44
D2,D,Tuba,45
G1,G,Tuba,46
C2,C,Tuba,47
F1,F,Tuba,48
F1,F,Tuba,49
G1,G,Tuba,50
A1,A,Tuba,51
F1,F,Tuba,52
D2,D,Tuba,53
C2,C,Tuba,54
D2,D,Tuba,55
C#2,C#,Tuba,56
C2,C,Tuba,57
A1,A,Tuba,58
F1,F,Tuba,59
F2,F,Tuba,60
B-1,B-,Tuba,61
F1,F,Tuba,62
A1,A,Tuba,63
G1,G,Tuba,64
E-2,E-,Tuba,65
D2,D,Tuba,66
E-2,E-,Tuba,67
F2,F,Tuba,68
F1,F,Tuba,69
F2,F,Tuba,70
F1,F,Tuba,71
B-1,B-,Tuba,72
F1,F,Tuba,73
B-1,B-,Tuba,74
F4,F,StringInstrument,0
F5,F,StringInstrument,1
B-5,B-,StringInstrument,2
B-4,B-,StringInstrument,3
F5,F,StringInstrument,4
F4,F,StringInstrument,5
F5,F,StringInstrument,6
F4,F,StringInstrument,7
F4,F,StringInstrument,8
F5,F,StringInstrument,9
F4,F,StringInstrument,10
E-4,E-,StringInstrument,11
E-4,E-,StringInstrument,12
E-4,E-,StringInstrument,13
C4,C,StringInstrument,14
D4,D,StringInstrument,15
E-4,E-,StringInstrument,16
F4,F,StringInstrument,17
G4,G,StringInstrument,18
F4,F,StringInstrument,19
B-4,B-,StringInstrument,20
A4,A,StringInstrument,21
G4,G,StringInstrument,22
A4,A,StringInstrument,23
G4,G,StringInstrument,24
F4,F,StringInstrument,25
E-4,E-,StringInstrument,26
C4,C,StringInstrument,27
G4,G,StringInstrument,28
G5,G,StringInstrument,29
B-1,B-,StringInstrument,0
F2,F,StringInstrument,1
B-1,B-,StringInstrument,2
F2,F,StringInstrument,3
B-1,B-,StringInstrument,4
F2,F,StringInstrument,5
B-1,B-,StringInstrument,6
D2,D,StringInstrument,7
E-2,E-,StringInstrument,8
B-1,B-,StringInstrument,9
E-2,E-,StringInstrument,10
E-2,E-,StringInstrument,11
B-1,B-,StringInstrument,12
F1,F,StringInstrument,13
B-1,B-,StringInstrument,14
A1,A,StringInstrument,15
G1,G,StringInstrument,16
D2,D,StringInstrument,17
G1,G,StringInstrument,18
G1,G,StringInstrument,19
C2,C,StringInstrument,20
C2,C,StringInstrument,21
C2,C,StringInstrument,22
F1,F,StringInstrument,23
C2,C,StringInstrument,24
F1,F,StringInstrument,25
B-1,B-,StringInstrument,26
F2,F,StringInstrument,27
B-1,B-,StringInstrument,28
F2,F,StringInstrument,29
B-1,B-,StringInstrument,30
F2,F,StringInstrument,31
B-1,B-,StringInstrument,32
D2,D,StringInstrument,33
E-2,E-,StringInstrument,34
B-1,B-,StringInstrument,35
E-2,E-,StringInstrument,36
E-2,E-,StringInstrument,37
B-1,B-,StringInstrument,38
F1,F,StringInstrument,39
B-1,B-,StringInstrument,40
B-1,B-,StringInstrument,41
D2,D,StringInstrument,42
D2,D,StringInstrument,43
G1,G,StringInstrument,44
C2,C,StringInstrument,45
F1,F,StringInstrument,46
F1,F,StringInstrument,47
G1,G,StringInstrument,48
A1,A,StringInstrument,49
F1,F,StringInstrument,50
D2,D,StringInstrument,51
C2,C,StringInstrument,52
D2,D,StringInstrument,53
C#2,C#,StringInstrument,54
C2,C,StringInstrument,55
A1,A,StringInstrument,56
F1,F,StringInstrument,57
F1,F,StringInstrument,58
B-1,B-,StringInstrument,59
A1,A,StringInstrument,60
A1,A,StringInstrument,61
G1,G,StringInstrument,62
E-2,E-,StringInstrument,63
D2,D,StringInstrument,64
E-2,E-,StringInstrument,65
F2,F,StringInstrument,66
F2,F,StringInstrument,67
F2,F,StringInstrument,68
F2,F,StringInstrument,69
B-1,B-,StringInstrument,70
F1,F,StringInstrument,71
B-1,B-,StringInstrument,72
F2,F,Timpani,0
B-2,B-,Timpani,1
D3,D,Timpani,2
D3,D,Timpani,3
D3,D,Timpani,4
D3,D,Timpani,5
D3,D,Timpani,6
D3,D,Timpani,7
D3,D,Timpani,8
D3,D,Timpani,9
D3,D,Timpani,10
D3,D,Timpani,11
D3,D,Timpani,12
D3,D,Timpani,13
D3,D,Timpani,14
F2,F,Timpani,15
B-2,B-,Timpani,16
F2,F,Timpani,17
B-2,B-,Timpani,18
