NoteOctave,Note,Instrument,Position
C#5,C#,Trumpet,0
C#5,C#,Trumpet,1
C#5,C#,Trumpet,2
B4,B,Trumpet,3
C#5,C#,Trumpet,4
D5,D,Trumpet,5
E5,E,Trumpet,6
D5,D,Trumpet,7
C#5,C#,Trumpet,8
B4,B,Trumpet,9
A4,A,Trumpet,10
C#5,C#,Trumpet,11
G#4,G#,Trumpet,12
C#5,C#,Trumpet,13
F#4,F#,Trumpet,14
F4,F,Trumpet,15
F#4,F#,Trumpet,16
G#4,G#,Trumpet,17
A4,A,Trumpet,18
B4,B,Trumpet,19
C#5,C#,Trumpet,20
C#5,C#,Trumpet,21
C#5,C#,Trumpet,22
B4,B,Trumpet,23
C#5,C#,Trumpet,24
D5,D,Trumpet,25
E5,E,Trumpet,26
D5,D,Trumpet,27
C#5,C#,Trumpet,28
B4,B,Trumpet,29
A4,A,Trumpet,30
F#4,F#,Trumpet,31
C#5,C#,Trumpet,32
F4,F,Trumpet,33
F#4,F#,Trumpet,34
F#4,F#,Trumpet,35
G#4,G#,Trumpet,36
G#4,G#,Trumpet,37
C#5,C#,Trumpet,38
B4,B,Trumpet,39
A4,A,Trumpet,40
G#4,G#,Trumpet,41
F#4,F#,Trumpet,42
G#4,G#,Trumpet,43
A4,A,Trumpet,44
F#4,F#,Trumpet,45
G#4,G#,Trumpet,46
G#4,G#,Trumpet,47
A4,A,Trumpet,48
A4,A,Trumpet,49
B4,B,Trumpet,50
B4,B,Trumpet,51
C#5,C#,Trumpet,52
C#5,C#,Trumpet,53
G#4,G#,Trumpet,54
G#4,G#,Trumpet,55
C#5,C#,Trumpet,56
B4,B,Trumpet,57
A4,A,Trumpet,58
G#4,G#,Trumpet,59
F#4,F#,Trumpet,60
G#4,G#,Trumpet,61
A4,A,Trumpet,62
F#4,F#,Trumpet,63
G#4,G#,Trumpet,64
G#4,G#,Trumpet,65
A4,A,Trumpet,66
C#5,C#,Trumpet,67
G#4,G#,Trumpet,68
C#5,C#,Trumpet,69
F#4,F#,Trumpet,70
G#4,G#,Trumpet,71
A4,A,Trumpet,72
B4,B,Trumpet,73
C#5,C#,Trumpet,74
D5,D,Trumpet,75
E5,E,Trumpet,76
E-5,E-,Trumpet,77
E5,E,Trumpet,78
C#5,C#,Trumpet,79
B4,B,Trumpet,80
B4,B,Trumpet,81
E5,E,Trumpet,82
D5,D,Trumpet,83
C#5,C#,Trumpet,84
B4,B,Trumpet,85
A4,A,Trumpet,86
A4,A,Trumpet,87
B4,B,Trumpet,88
B4,B,Trumpet,89
C#5,C#,Trumpet,90
B4,B,Trumpet,91
A4,A,Trumpet,92
B4,B,Trumpet,93
C#5,C#,Trumpet,94
D5,D,Trumpet,95
E5,E,Trumpet,96
E-5,E-,Trumpet,97
E5,E,Trumpet,98
C#5,C#,Trumpet,99
B4,B,Trumpet,100
B4,B,Trumpet,101
E5,E,Trumpet,102
D5,D,Trumpet,103
C#5,C#,Trumpet,104
B4,B,Trumpet,105
A4,A,Trumpet,106
F#4,F#,Trumpet,107
C#5,C#,Trumpet,108
F4,F,Trumpet,109
F#4,F#,Trumpet,110
F#4,F#,Trumpet,111
E5,E,Trumpet,112
E-5,E-,Trumpet,113
E5,E,Trumpet,114
C#5,C#,Trumpet,115
B4,B,Trumpet,116
B4,B,Trumpet,117
E5,E,Trumpet,118
D5,D,Trumpet,119
C#5,C#,Trumpet,120
B4,B,Trumpet,121
A4,A,Trumpet,122
A4,A,Trumpet,123
B4,B,Trumpet,124
B4,B,Trumpet,125
C#5,C#,Trumpet,126
B4,B,Trumpet,127
A4,A,Trumpet,128
B4,B,Trumpet,129
C#5,C#,Trumpet,130
D5,D,Trumpet,131
E5,E,Trumpet,132
E-5,E-,Trumpet,133
E5,E,Trumpet,134
C#5,C#,Trumpet,135
B4,B,Trumpet,136
B4,B,Trumpet,137
E5,E,Trumpet,138
D5,D,Trumpet,139
C#5,C#,Trumpet,140
B4,B,Trumpet,141
A4,A,Trumpet,142
F#4,F#,Trumpet,143
C#5,C#,Trumpet,144
F4,F,Trumpet,145
F#4,F#,Trumpet,146
F#4,F#,Trumpet,147
A4,A,Horn,0
A4,A,Horn,1
A4,A,Horn,2
G#4,G#,Horn,3
A4,A,Horn,4
B4,B,Horn,5
C#5,C#,Horn,6
B4,B,Horn,7
A4,A,Horn,8
G#4,G#,Horn,9
F#4,F#,Horn,10
A4,A,Horn,11
F4,F,Horn,12
F4,F,Horn,13
F#4,F#,Horn,14
F4,F,Horn,15
F#4,F#,Horn,16
G#4,G#,Horn,17
F#4,F#,Horn,18
G#4,G#,Horn,19
A4,A,Horn,20
A4,A,Horn,21
A4,A,Horn,22
G#4,G#,Horn,23
A4,A,Horn,24
B4,B,Horn,25
C#5,C#,Horn,26
B4,B,Horn,27
A4,A,Horn,28
G#4,G#,Horn,29
F#4,F#,Horn,30
C#4,C#,Horn,31
C#4,C#,Horn,32
A3,A,Horn,33
F4,F,Horn,34
C#4,C#,Horn,35
C#4,C#,Horn,36
F4,F,Horn,37
F#4,F#,Horn,38
F4,F,Horn,39
C#4,C#,Horn,40
F#4,F#,Horn,41
C#4,C#,Horn,42
G#4,G#,Horn,43
E4,E,Horn,44
C#4,C#,Horn,45
C#4,C#,Horn,46
F4,F,Horn,47
F#4,F#,Horn,48
F4,F,Horn,49
C#4,C#,Horn,50
C#4,C#,Horn,51
F4,F,Horn,52
C#4,C#,Horn,53
F#4,F#,Horn,54
F#4,F#,Horn,55
A4,A,Horn,56
C#4,C#,Horn,57
F4,F,Horn,58
F4,F,Horn,59
G#4,G#,Horn,60
C#4,C#,Horn,61
A3,A,Horn,62
F#4,F#,Horn,63
F4,F,Horn,64
B4,B,Horn,65
E4,E,Horn,66
C#5,C#,Horn,67
E4,E,Horn,68
C5,C,Horn,69
A4,A,Horn,70
G#4,G#,Horn,71
E4,E,Horn,72
G#4,G#,Horn,73
C#4,C#,Horn,74
G#4,G#,Horn,75
E4,E,Horn,76
E4,E,Horn,77
D4,D,Horn,78
E4,E,Horn,79
C#5,C#,Horn,80
C5,C,Horn,81
C#5,C#,Horn,82
E4,E,Horn,83
G#4,G#,Horn,84
E4,E,Horn,85
G#4,G#,Horn,86
G#4,G#,Horn,87
C#4,C#,Horn,88
F#4,F#,Horn,89
C#4,C#,Horn,90
F#4,F#,Horn,91
C#4,C#,Horn,92
A3,A,Horn,93
F4,F,Horn,94
A4,A,Horn,95
F#4,F#,Horn,96
C#4,C#,Horn,97
A3,A,Horn,98
C5,C,Horn,99
C#5,C#,Horn,100
E4,E,Horn,101
A4,A,Horn,102
G#4,G#,Horn,103
E4,E,Horn,104
G#4,G#,Horn,105
E4,E,Horn,106
G#4,G#,Horn,107
C#4,C#,Horn,108
G#4,G#,Horn,109
E4,E,Horn,110
E4,E,Horn,111
G#4,G#,Horn,112
D4,D,Horn,113
C#5,C#,Horn,114
E4,E,Horn,115
C5,C,Horn,116
C#5,C#,Horn,117
E4,E,Horn,118
A4,A,Horn,119
E4,E,Horn,120
G#4,G#,Horn,121
G#4,G#,Horn,122
C#4,C#,Horn,123
F#4,F#,Horn,124
A3,A,Horn,125
F4,F,Horn,126
F#4,F#,Horn,127
A4,A,Horn,128
A2,A,Bass Trombone,0
A2,A,Bass Trombone,1
A2,A,Bass Trombone,2
C#3,C#,Bass Trombone,3
F#2,F#,Bass Trombone,4
C#3,C#,Bass Trombone,5
F#3,F#,Bass Trombone,6
F#3,F#,Bass Trombone,7
E3,E,Bass Trombone,8
A2,A,Bass Trombone,9
A2,A,Bass Trombone,10
A2,A,Bass Trombone,11
C#3,C#,Bass Trombone,12
F#2,F#,Bass Trombone,13
F#3,F#,Bass Trombone,14
C#3,C#,Bass Trombone,15
C#2,C#,Bass Trombone,16
F#2,F#,Bass Trombone,17
C#3,C#,Bass Trombone,18
F#2,F#,Bass Trombone,19
F3,F,Bass Trombone,20
F3,F,Bass Trombone,21
C#3,C#,Bass Trombone,22
C#3,C#,Bass Trombone,23
F#2,F#,Bass Trombone,24
F#3,F#,Bass Trombone,25
C#3,C#,Bass Trombone,26
C#3,C#,Bass Trombone,27
F#2,F#,Bass Trombone,28
F#3,F#,Bass Trombone,29
E3,E,Bass Trombone,30
E2,E,Bass Trombone,31
A2,A,Bass Trombone,32
E3,E,Bass Trombone,33
E3,E,Bass Trombone,34
A3,A,Bass Trombone,35
G#3,G#,Bass Trombone,36
F#3,F#,Bass Trombone,37
E3,E,Bass Trombone,38
F3,F,Bass Trombone,39
F3,F,Bass Trombone,40
C#3,C#,Bass Trombone,41
C#3,C#,Bass Trombone,42
F#2,F#,Bass Trombone,43
F#3,F#,Bass Trombone,44
C#3,C#,Bass Trombone,45
C#3,C#,Bass Trombone,46
F#2,F#,Bass Trombone,47
F#2,F#,Bass Trombone,48
C#3,C#,Bass Trombone,49
C#3,C#,Bass Trombone,50
F#3,F#,Bass Trombone,51
F3,F,Bass Trombone,52
F#3,F#,Bass Trombone,53
D3,D,Bass Trombone,54
C#3,C#,Bass Trombone,55
B2,B,Bass Trombone,56
A2,A,Bass Trombone,57
C#3,C#,Bass Trombone,58
E3,E,Bass Trombone,59
E2,E,Bass Trombone,60
E3,E,Bass Trombone,61
F3,F,Bass Trombone,62
F#3,F#,Bass Trombone,63
F#2,F#,Bass Trombone,64
E3,E,Bass Trombone,65
E2,E,Bass Trombone,66
A2,A,Bass Trombone,67
E3,E,Bass Trombone,68
C#3,C#,Bass Trombone,69
B2,B,Bass Trombone,70
A2,A,Bass Trombone,71
C#3,C#,Bass Trombone,72
A3,A,Bass Trombone,73
E3,E,Bass Trombone,74
E2,E,Bass Trombone,75
E3,E,Bass Trombone,76
F2,F,Bass Trombone,77
F#2,F#,Bass Trombone,78
F#3,F#,Bass Trombone,79
C#3,C#,Bass Trombone,80
C#3,C#,Bass Trombone,81
F#3,F#,Bass Trombone,82
C#3,C#,Bass Trombone,83
F#2,F#,Bass Trombone,84
A2,A,Bass Trombone,85
C#3,C#,Bass Trombone,86
E3,E,Bass Trombone,87
E2,E,Bass Trombone,88
E3,E,Bass Trombone,89
F3,F,Bass Trombone,90
F#3,F#,Bass Trombone,91
F#2,F#,Bass Trombone,92
E3,E,Bass Trombone,93
E2,E,Bass Trombone,94
A2,A,Bass Trombone,95
E3,E,Bass Trombone,96
C#3,C#,Bass Trombone,97
B2,B,Bass Trombone,98
A2,A,Bass Trombone,99
A3,A,Bass Trombone,100
C#3,C#,Bass Trombone,101
A3,A,Bass Trombone,102
E3,E,Bass Trombone,103
E2,E,Bass Trombone,104
E3,E,Bass Trombone,105
F2,F,Bass Trombone,106
F#2,F#,Bass Trombone,107
F#3,F#,Bass Trombone,108
C#3,C#,Bass Trombone,109
C#3,C#,Bass Trombone,110
F#3,F#,Bass Trombone,111
C#3,C#,Bass Trombone,112
F#2,F#,Bass Trombone,113
A1,A,Tuba,0
A1,A,Tuba,1
A1,A,Tuba,2
C#2,C#,Tuba,3
F#1,F#,Tuba,4
C#2,C#,Tuba,5
F#2,F#,Tuba,6
F#2,F#,Tuba,7
E2,E,Tuba,8
A1,A,Tuba,9
A1,A,Tuba,10
A1,A,Tuba,11
C#2,C#,Tuba,12
F#1,F#,Tuba,13
F#2,F#,Tuba,14
C#2,C#,Tuba,15
C#2,C#,Tuba,16
F#1,F#,Tuba,17
C#2,C#,Tuba,18
F#1,F#,Tuba,19
F2,F,Tuba,20
F2,F,Tuba,21
C#2,C#,Tuba,22
C#2,C#,Tuba,23
F#1,F#,Tuba,24
F#2,F#,Tuba,25
C#2,C#,Tuba,26
C#2,C#,Tuba,27
F#1,F#,Tuba,28
F#2,F#,Tuba,29
E2,E,Tuba,30
E1,E,Tuba,31
A1,A,Tuba,32
E2,E,Tuba,33
E2,E,Tuba,34
A2,A,Tuba,35
G#2,G#,Tuba,36
F#2,F#,Tuba,37
E2,E,Tuba,38
F2,F,Tuba,39
F2,F,Tuba,40
C#2,C#,Tuba,41
C#2,C#,Tuba,42
F#1,F#,Tuba,43
F#2,F#,Tuba,44
C#2,C#,Tuba,45
C#2,C#,Tuba,46
F#1,F#,Tuba,47
F#1,F#,Tuba,48
C#2,C#,Tuba,49
C#2,C#,Tuba,50
F#2,F#,Tuba,51
F2,F,Tuba,52
F#2,F#,Tuba,53
D2,D,Tuba,54
C#2,C#,Tuba,55
B1,B,Tuba,56
A1,A,Tuba,57
C#2,C#,Tuba,58
E2,E,Tuba,59
E1,E,Tuba,60
E2,E,Tuba,61
F2,F,Tuba,62
F#2,F#,Tuba,63
F#1,F#,Tuba,64
E2,E,Tuba,65
E1,E,Tuba,66
A1,A,Tuba,67
E2,E,Tuba,68
C#2,C#,Tuba,69
B1,B,Tuba,70
A1,A,Tuba,71
C#2,C#,Tuba,72
