NoteOctave,Note,Instrument,Position
C4,C,Trumpet,0
C4,C,Trumpet,1
A4,A,Trumpet,2
F4,F,Trumpet,3
F4,F,Trumpet,4
F4,F,Trumpet,5
C5,C,Trumpet,6
A4,A,Trumpet,7
F4,F,Trumpet,8
E4,E,Trumpet,9
F4,F,Trumpet,10
G4,G,Trumpet,11
C4,C,Trumpet,12
E4,E,Trumpet,13
F4,F,Trumpet,14
G4,G,Trumpet,15
A4,A,Trumpet,16
B-4,B-,Trumpet,17
D5,D,Trumpet,18
C5,C,Trumpet,19
B-4,B-,Trumpet,20
A4,A,Trumpet,21
C4,C,Trumpet,22
F4,F,Trumpet,23
A4,A,Trumpet,24
C5,C,Trumpet,25
A4,A,Trumpet,26
B-4,B-,Trumpet,27
A4,A,Trumpet,28
B-4,B-,Trumpet,29
C5,C,Trumpet,30
D5,D,Trumpet,31
G4,G,Trumpet,32
B-4,B-,Trumpet,33
D5,D,Trumpet,34
C5,C,Trumpet,35
A4,A,Trumpet,36
C5,C,Trumpet,37
B4,B,Trumpet,38
B-4,B-,Trumpet,39
G4,G,Trumpet,40
A4,A,Trumpet,41
C4,C,Trumpet,42
F4,F,Trumpet,43
A4,A,Trumpet,44
C5,C,Trumpet,45
A4,A,Trumpet,46
B-4,B-,Trumpet,47
A4,A,Trumpet,48
B-4,B-,Trumpet,49
C5,C,Trumpet,50
D5,D,Trumpet,51
G4,G,Trumpet,52
B-4,B-,Trumpet,53
D5,D,Trumpet,54
C5,C,Trumpet,55
A4,A,Trumpet,56
C5,C,Trumpet,57
B4,B,Trumpet,58
B-4,B-,Trumpet,59
E4,E,Trumpet,60
F4,F,Trumpet,61
C4,C,Horn,0
C4,C,Horn,1
C4,C,Horn,2
F4,F,Horn,3
A4,A,Horn,4
F4,F,Horn,5
C4,C,Horn,6
A3,A,Horn,7
C4,C,Horn,8
B-3,B-,Horn,9
C4,C,Horn,10
D4,D,Horn,11
B-3,B-,Horn,12
B-3,B-,Horn,13
E4,E,Horn,14
C4,C,Horn,15
C4,C,Horn,16
D4,D,Horn,17
E4,E,Horn,18
F4,F,Horn,19
C4,C,Horn,20
B-4,B-,Horn,21
G4,G,Horn,22
E4,E,Horn,23
C4,C,Horn,24
C4,C,Horn,25
A4,A,Horn,26
C4,C,Horn,27
F4,F,Horn,28
G4,G,Horn,29
A4,A,Horn,30
D4,D,Horn,31
B-4,B-,Horn,32
G4,G,Horn,33
B-3,B-,Horn,34
D4,D,Horn,35
B-4,B-,Horn,36
E4,E,Horn,37
F4,F,Horn,38
A4,A,Horn,39
F4,F,Horn,40
E4,E,Horn,41
E4,E,Horn,42
C4,C,Horn,43
C4,C,Horn,44
C4,C,Horn,45
C4,C,Horn,46
F4,F,Horn,47
A4,A,Horn,48
F4,F,Horn,49
D4,D,Horn,50
D4,D,Horn,51
B-4,B-,Horn,52
G4,G,Horn,53
D4,D,Horn,54
B-3,B-,Horn,55
D4,D,Horn,56
B-4,B-,Horn,57
C4,C,Horn,58
F4,F,Horn,59
C3,C,Bass Trombone,0
F2,F,Bass Trombone,1
C3,C,Bass Trombone,2
F3,F,Bass Trombone,3
A2,A,Bass Trombone,4
C3,C,Bass Trombone,5
F3,F,Bass Trombone,6
G3,G,Bass Trombone,7
F3,F,Bass Trombone,8
E3,E,Bass Trombone,9
D3,D,Bass Trombone,10
C3,C,Bass Trombone,11
B-3,B-,Bass Trombone,12
A3,A,Bass Trombone,13
G3,G,Bass Trombone,14
F3,F,Bass Trombone,15
E3,E,Bass Trombone,16
D3,D,Bass Trombone,17
C3,C,Bass Trombone,18
C3,C,Bass Trombone,19
F3,F,Bass Trombone,20
C3,C,Bass Trombone,21
F2,F,Bass Trombone,22
C3,C,Bass Trombone,23
F3,F,Bass Trombone,24
E-3,E-,Bass Trombone,25
D3,D,Bass Trombone,26
C3,C,Bass Trombone,27
B-2,B-,Bass Trombone,28
A2,A,Bass Trombone,29
G2,G,Bass Trombone,30
B-2,B-,Bass Trombone,31
D3,D,Bass Trombone,32
F#3,F#,Bass Trombone,33
G3,G,Bass Trombone,34
F4,F,Bass Trombone,35
E4,E,Bass Trombone,36
D4,D,Bass Trombone,37
C4,C,Bass Trombone,38
A3,A,Bass Trombone,39
F3,F,Bass Trombone,40
D3,D,Bass Trombone,41
C3,C,Bass Trombone,42
D3,D,Bass Trombone,43
E3,E,Bass Trombone,44
C3,C,Bass Trombone,45
F3,F,Bass Trombone,46
D3,D,Bass Trombone,47
C3,C,Bass Trombone,48
A2,A,Bass Trombone,49
F2,F,Bass Trombone,50
C3,C,Bass Trombone,51
F3,F,Bass Trombone,52
E-3,E-,Bass Trombone,53
