NoteOctave,Note,Instrument,Position
F4,F,Trumpet,0
B-4,B-,Trumpet,1
B-4,B-,Trumpet,2
B-4,B-,Trumpet,3
B-4,B-,Trumpet,4
B-4,B-,Trumpet,5
F4,F,Trumpet,6
C5,C,Trumpet,7
C5,C,Trumpet,8
C5,C,Trumpet,9
C5,C,Trumpet,10
C5,C,Trumpet,11
C5,C,Trumpet,12
D5,D,Trumpet,13
D5,D,Trumpet,14
D5,D,Trumpet,15
D5,D,Trumpet,16
C5,C,Trumpet,17
B-4,B-,Trumpet,18
A4,A,Trumpet,19
B-4,B-,Trumpet,20
A4,A,Trumpet,21
G4,G,Trumpet,22
F4,F,Trumpet,23
F4,F,Trumpet,24
F4,F,Trumpet,25
G4,G,Trumpet,26
A4,A,Trumpet,27
B-4,B-,Trumpet,28
C5,C,Trumpet,29
D5,D,Trumpet,30
E-5,E-,Trumpet,31
C5,C,Trumpet,32
D5,D,Trumpet,33
C5,C,Trumpet,34
B-4,B-,Trumpet,35
D5,D,Trumpet,36
F5,F,Trumpet,37
D5,D,Trumpet,38
C5,C,Trumpet,39
D5,D,Trumpet,40
C5,C,Trumpet,41
D5,D,Trumpet,42
C5,C,Trumpet,43
F4,F,Trumpet,44
F4,F,Trumpet,45
G4,G,Trumpet,46
F4,F,Trumpet,47
G4,G,Trumpet,48
F4,F,Trumpet,49
D5,D,Trumpet,50
C5,C,Trumpet,51
B-4,B-,Trumpet,52
B-4,B-,Trumpet,53
A4,A,Trumpet,54
G4,G,Trumpet,55
F4,F,Trumpet,56
G4,G,Trumpet,57
F4,F,Trumpet,58
G4,G,Trumpet,59
F4,F,Trumpet,60
E-5,E-,Trumpet,61
D5,D,Trumpet,62
C5,C,Trumpet,63
C#5,C#,Trumpet,64
D5,D,Trumpet,65
G5,G,Trumpet,66
G5,G,Trumpet,67
G5,G,Trumpet,68
F5,F,Trumpet,69
F5,F,Trumpet,70
E-5,E-,Trumpet,71
E-5,E-,Trumpet,72
D5,D,Trumpet,73
D5,D,Trumpet,74
C5,C,Trumpet,75
B4,B,Trumpet,76
C5,C,Trumpet,77
D5,D,Trumpet,78
E-5,E-,Trumpet,79
G5,G,Trumpet,80
E-5,E-,Trumpet,81
C5,C,Trumpet,82
B-4,B-,Trumpet,83
C5,C,Trumpet,84
D5,D,Trumpet,85
D5,D,Trumpet,86
C5,C,Trumpet,87
B4,B,Trumpet,88
C5,C,Trumpet,89
D5,D,Trumpet,90
E-5,E-,Trumpet,91
G5,G,Trumpet,92
E-5,E-,Trumpet,93
C5,C,Trumpet,94
B-4,B-,Trumpet,95
A4,A,Trumpet,96
B-4,B-,Trumpet,97
E-4,E-,Horn,0
C4,C,Horn,1
F4,F,Horn,2
D4,D,Horn,3
F4,F,Horn,4
D4,D,Horn,5
A4,A,Horn,6
F4,F,Horn,7
B-4,B-,Horn,8
F4,F,Horn,9
G4,G,Horn,10
F4,F,Horn,11
C4,C,Horn,12
F4,F,Horn,13
C4,C,Horn,14
E4,E,Horn,15
F4,F,Horn,16
G4,G,Horn,17
F4,F,Horn,18
A4,A,Horn,19
B-4,B-,Horn,20
F4,F,Horn,21
F4,F,Horn,22
C5,C,Horn,23
F4,F,Horn,24
A4,A,Horn,25
B-4,B-,Horn,26
F4,F,Horn,27
A4,A,Horn,28
F4,F,Horn,29
F4,F,Horn,30
F4,F,Horn,31
F4,F,Horn,32
C5,C,Horn,33
F4,F,Horn,34
F4,F,Horn,35
G4,G,Horn,36
A4,A,Horn,37
B-4,B-,Horn,38
C5,C,Horn,39
D5,D,Horn,40
E-5,E-,Horn,41
C5,C,Horn,42
D5,D,Horn,43
C5,C,Horn,44
B-4,B-,Horn,45
D5,D,Horn,46
F5,F,Horn,47
B-4,B-,Horn,48
F4,F,Horn,49
F4,F,Horn,50
A4,A,Horn,51
B-4,B-,Horn,52
F4,F,Horn,53
F4,F,Horn,54
A4,A,Horn,55
B-4,B-,Horn,56
F4,F,Horn,57
F4,F,Horn,58
C4,C,Horn,59
C4,C,Horn,60
F4,F,Horn,61
A4,A,Horn,62
D4,D,Horn,63
D4,D,Horn,64
B-4,B-,Horn,65
F4,F,Horn,66
E-4,E-,Horn,67
G4,G,Horn,68
D4,D,Horn,69
G4,G,Horn,70
G4,G,Horn,71
E-4,E-,Horn,72
G4,G,Horn,73
E-4,E-,Horn,74
C5,C,Horn,75
B-4,B-,Horn,76
F4,F,Horn,77
D4,D,Horn,78
G4,G,Horn,79
G4,G,Horn,80
E-4,E-,Horn,81
F3,F,Bass Trombone,0
B-3,B-,Bass Trombone,1
B-3,B-,Bass Trombone,2
B-3,B-,Bass Trombone,3
B-3,B-,Bass Trombone,4
B-3,B-,Bass Trombone,5
F3,F,Bass Trombone,6
D3,D,Bass Trombone,7
B-2,B-,Bass Trombone,8
F3,F,Bass Trombone,9
F3,F,Bass Trombone,10
F3,F,Bass Trombone,11
F3,F,Bass Trombone,12
F3,F,Bass Trombone,13
F3,F,Bass Trombone,14
A3,A,Bass Trombone,15
F3,F,Bass Trombone,16
B-3,B-,Bass Trombone,17
F3,F,Bass Trombone,18
D3,D,Bass Trombone,19
