NoteOctave,Note,Instrument,Position
G4,G,Trumpet,0
F#4,F#,Trumpet,1
G4,G,Trumpet,2
D4,D,Trumpet,3
B4,B,Trumpet,4
B4,B,Trumpet,5
A4,A,Trumpet,6
G4,G,Trumpet,7
E4,E,Trumpet,8
C5,C,Trumpet,9
E4,E,Trumpet,10
B4,B,Trumpet,11
A4,A,Trumpet,12
G4,G,Trumpet,13
F#4,F#,Trumpet,14
E4,E,Trumpet,15
D4,D,Trumpet,16
G4,G,Trumpet,17
D4,D,Trumpet,18
E4,E,Trumpet,19
F#4,F#,Trumpet,20
G4,G,Trumpet,21
A4,A,Trumpet,22
B4,B,Trumpet,23
B4,B,Trumpet,24
G4,G,Trumpet,25
E4,E,Trumpet,26
A4,A,Trumpet,27
G4,G,Trumpet,28
F#4,F#,Trumpet,29
G4,G,Trumpet,30
D5,D,Trumpet,31
D5,D,Trumpet,32
G4,G,Trumpet,33
B4,B,Trumpet,34
D5,D,Trumpet,35
D5,D,Trumpet,36
E5,E,Trumpet,37
D5,D,Trumpet,38
A4,A,Trumpet,39
B4,B,Trumpet,40
C5,C,Trumpet,41
B4,B,Trumpet,42
A4,A,Trumpet,43
G4,G,Trumpet,44
F#4,F#,Trumpet,45
G4,G,Trumpet,46
F#4,F#,Trumpet,47
E4,E,Trumpet,48
D4,D,Trumpet,49
G4,G,Trumpet,50
D4,D,Trumpet,51
E4,E,Trumpet,52
F#4,F#,Trumpet,53
G4,G,Trumpet,54
A4,A,Trumpet,55
D5,D,Trumpet,56
D5,D,Trumpet,57
C5,C,Trumpet,58
B4,B,Trumpet,59
C5,C,Trumpet,60
B4,B,Trumpet,61
A4,A,Trumpet,62
G4,G,Trumpet,63
D4,D,Horn,0
B3,B,Horn,1
A3,A,Horn,2
D4,D,Horn,3
B3,B,Horn,4
D4,D,Horn,5
A3,A,Horn,6
D4,D,Horn,7
D4,D,Horn,8
C4,C,Horn,9
D4,D,Horn,10
C4,C,Horn,11
B3,B,Horn,12
D4,D,Horn,13
C4,C,Horn,14
E4,E,Horn,15
A3,A,Horn,16
C4,C,Horn,17
B3,B,Horn,18
F#4,F#,Horn,19
D4,D,Horn,20
G4,G,Horn,21
D4,D,Horn,22
G4,G,Horn,23
E4,E,Horn,24
C4,C,Horn,25
G3,G,Horn,26
B3,B,Horn,27
D4,D,Horn,28
F#3,F#,Horn,29
B3,B,Horn,30
B4,B,Horn,31
D4,D,Horn,32
D4,D,Horn,33
B3,B,Horn,34
