NoteOctave,Note,Instrument,Position
D4,D,Trumpet,0
D4,D,Trumpet,1
G4,G,Trumpet,2
D4,D,Trumpet,3
G4,G,Trumpet,4
B4,B,Trumpet,5
B4,B,Trumpet,6
G4,G,Trumpet,7
D4,D,Trumpet,8
G4,G,Trumpet,9
B4,B,Trumpet,10
D5,D,Trumpet,11
D5,D,Trumpet,12
B4,B,Trumpet,13
G4,G,Trumpet,14
A4,A,Trumpet,15
B4,B,Trumpet,16
A4,A,Trumpet,17
A4,A,Trumpet,18
B4,B,Trumpet,19
C5,C,Trumpet,20
C5,C,Trumpet,21
C5,C,Trumpet,22
C5,C,Trumpet,23
B4,B,Trumpet,24
A4,A,Trumpet,25
B4,B,Trumpet,26
G4,G,Trumpet,27
B4,B,Trumpet,28
A4,A,Trumpet,29
G4,G,Trumpet,30
F#4,F#,Trumpet,31
G4,G,Trumpet,32
D5,D,Trumpet,33
D5,D,Trumpet,34
D5,D,Trumpet,35
C#5,C#,Trumpet,36
E5,E,Trumpet,37
D5,D,Trumpet,38
B4,B,Trumpet,39
G4,G,Trumpet,40
A4,A,Trumpet,41
A4,A,Trumpet,42
B4,B,Trumpet,43
C5,C,Trumpet,44
B4,B,Trumpet,45
A4,A,Trumpet,46
B4,B,Trumpet,47
D4,D,Trumpet,48
D4,D,Trumpet,49
G4,G,Trumpet,50
F#4,F#,Trumpet,51
A4,A,Trumpet,52
G4,G,Trumpet,53
B4,B,Trumpet,54
A4,A,Trumpet,55
C5,C,Trumpet,56
E5,E,Trumpet,57
E5,E,Trumpet,58
D5,D,Trumpet,59
C5,C,Trumpet,60
B4,B,Trumpet,61
A4,A,Trumpet,62
G4,G,Trumpet,63
D4,D,Horn,0
D4,D,Horn,1
D4,D,Horn,2
B3,B,Horn,3
G4,G,Horn,4
B4,B,Horn,5
D4,D,Horn,6
B3,B,Horn,7
C4,C,Horn,8
G4,G,Horn,9
D4,D,Horn,10
F#4,F#,Horn,11
D4,D,Horn,12
C4,C,Horn,13
D4,D,Horn,14
G4,G,Horn,15
E4,E,Horn,16
C4,C,Horn,17
D4,D,Horn,18
A3,A,Horn,19
D4,D,Horn,20
D4,D,Horn,21
D4,D,Horn,22
C#4,C#,Horn,23
E4,E,Horn,24
D4,D,Horn,25
B3,B,Horn,26
G3,G,Horn,27
D4,D,Horn,28
F#4,F#,Horn,29
F#4,F#,Horn,30
D4,D,Horn,31
D4,D,Horn,32
A4,A,Horn,33
D4,D,Horn,34
G4,G,Horn,35
D4,D,Horn,36
B3,B,Horn,37
D4,D,Horn,38
D4,D,Horn,39
B3,B,Horn,40
B3,B,Horn,41
D4,D,Horn,42
C5,C,Horn,43
G4,G,Horn,44
B4,B,Horn,45
D4,D,Horn,46
D4,D,Horn,47
G4,G,Horn,48
D3,D,Bass Trombone,0
G2,G,Bass Trombone,1
B2,B,Bass Trombone,2
G3,G,Bass Trombone,3
G2,G,Bass Trombone,4
G2,G,Bass Trombone,5
G2,G,Bass Trombone,6
G3,G,Bass Trombone,7
G2,G,Bass Trombone,8
B2,B,Bass Trombone,9
A2,A,Bass Trombone,10
