NoteOctave,Note,Instrument,Position
F4,F,StringInstrument,0
F2,F,StringInstrument,1
F3,F,StringInstrument,2
C5,C,StringInstrument,3
C5,C,StringInstrument,4
D5,D,StringInstrument,5
C5,C,StringInstrument,6
D4,D,StringInstrument,7
F4,F,StringInstrument,8
E4,E,StringInstrument,9
G4,G,StringInstrument,10
C5,C,StringInstrument,11
C4,C,StringInstrument,12
B-4,B-,StringInstrument,13
C4,C,StringInstrument,14
G4,G,StringInstrument,15
B-4,B-,StringInstrument,16
C4,C,StringInstrument,17
C4,C,StringInstrument,18
C4,C,StringInstrument,19
C4,C,StringInstrument,20
F4,F,StringInstrument,21
F4,F,StringInstrument,22
F2,F,StringInstrument,23
F3,F,StringInstrument,24
C5,C,StringInstrument,25
D5,D,StringInstrument,26
C5,C,StringInstrument,27
D4,D,StringInstrument,28
G4,G,StringInstrument,29
F4,F,StringInstrument,30
C5,C,StringInstrument,31
C4,C,StringInstrument,32
E4,E,StringInstrument,33
B-4,B-,StringInstrument,34
C4,C,StringInstrument,35
F4,F,StringInstrument,36
A4,A,StringInstrument,37
C4,C,StringInstrument,38
C4,C,StringInstrument,39
C4,C,StringInstrument,40
C4,C,StringInstrument,41
C4,C,StringInstrument,42
E4,E,StringInstrument,43
C2,C,StringInstrument,44
C3,C,StringInstrument,45
F2,F,StringInstrument,46
F3,F,StringInstrument,47
A2,A,StringInstrument,48
A3,A,StringInstrument,49
F2,F,StringInstrument,50
F3,F,StringInstrument,51
E2,E,StringInstrument,52
E3,E,StringInstrument,53
C5,C,StringInstrument,54
D5,D,StringInstrument,55
F3,F,StringInstrument,56
F2,F,StringInstrument,57
F3,F,StringInstrument,58
C4,C,StringInstrument,59
C4,C,StringInstrument,60
A2,A,StringInstrument,61
A3,A,StringInstrument,62
C4,C,StringInstrument,63
C3,C,StringInstrument,64
C4,C,StringInstrument,65
F5,F,StringInstrument,66
F5,F,StringInstrument,67
F4,F,StringInstrument,68
B-4,B-,StringInstrument,69
F5,F,StringInstrument,70
E5,E,StringInstrument,71
F4,F,StringInstrument,72
C5,C,StringInstrument,73
D5,D,StringInstrument,74
D5,D,StringInstrument,75
D5,D,StringInstrument,76
C5,C,StringInstrument,77
D4,D,StringInstrument,78
F4,F,StringInstrument,79
G4,G,StringInstrument,80
D4,D,StringInstrument,81
F4,F,StringInstrument,82
G4,G,StringInstrument,83
E4,E,StringInstrument,84
C4,C,StringInstrument,85
B-4,B-,StringInstrument,86
G4,G,StringInstrument,87
C4,C,StringInstrument,88
F4,F,StringInstrument,89
F5,F,StringInstrument,90
F5,F,StringInstrument,91
F5,F,StringInstrument,92
E5,E,StringInstrument,93
D5,D,StringInstrument,94
C5,C,StringInstrument,95
D4,D,StringInstrument,96
G4,G,StringInstrument,97
D5,D,StringInstrument,98
D5,D,StringInstrument,99
F#2,F#,StringInstrument,100
F#3,F#,StringInstrument,101
D5,D,StringInstrument,102
C5,C,StringInstrument,103
D4,D,StringInstrument,104
F4,F,StringInstrument,105
F4,F,StringInstrument,0
F2,F,StringInstrument,1
F3,F,StringInstrument,2
C5,C,StringInstrument,3
C5,C,StringInstrument,4
D5,D,StringInstrument,5
C5,C,StringInstrument,6
D4,D,StringInstrument,7
F4,F,StringInstrument,8
E4,E,StringInstrument,9
G4,G,StringInstrument,10
C5,C,StringInstrument,11
C4,C,StringInstrument,12
B-4,B-,StringInstrument,13
C4,C,StringInstrument,14
G4,G,StringInstrument,15
B-4,B-,StringInstrument,16
C4,C,StringInstrument,17
C4,C,StringInstrument,18
C4,C,StringInstrument,19
C4,C,StringInstrument,20
F4,F,StringInstrument,21
F4,F,StringInstrument,22
F2,F,StringInstrument,23
F3,F,StringInstrument,24
C5,C,StringInstrument,25
D5,D,StringInstrument,26
C5,C,StringInstrument,27
D4,D,StringInstrument,28
G4,G,StringInstrument,29
F4,F,StringInstrument,30
C5,C,StringInstrument,31
C4,C,StringInstrument,32
