NoteOctave,Note,Instrument,Position
E5,E,Trumpet,0
D5,D,Trumpet,1
C5,C,Trumpet,2
B4,B,Trumpet,3
A4,A,Trumpet,4
G4,G,Trumpet,5
F4,F,Trumpet,6
A4,A,Trumpet,7
D5,D,Trumpet,8
C5,C,Trumpet,9
A4,A,Trumpet,10
G4,G,Trumpet,11
C5,C,Trumpet,12
B4,B,Trumpet,13
D5,D,Trumpet,14
C5,C,Trumpet,15
E4,E,Trumpet,16
E4,E,Trumpet,17
E4,E,Trumpet,18
E4,E,Trumpet,19
E4,E,Trumpet,20
E4,E,Trumpet,21
E4,E,Trumpet,22
E4,E,Trumpet,23
E4,E,Trumpet,24
E4,E,Trumpet,25
G4,G,Trumpet,26
E5,E,Trumpet,27
E5,E,Trumpet,28
D5,D,Trumpet,29
C5,C,Trumpet,30
C5,C,Trumpet,31
B4,B,Trumpet,32
A4,A,Trumpet,33
A4,A,Trumpet,34
G4,G,Trumpet,35
F4,F,Trumpet,36
E4,E,Trumpet,37
D4,D,Trumpet,38
E4,E,Trumpet,39
F4,F,Trumpet,40
G4,G,Trumpet,41
A4,A,Trumpet,42
B4,B,Trumpet,43
C5,C,Trumpet,44
D5,D,Trumpet,45
E5,E,Trumpet,46
C5,C,Trumpet,47
G4,G,Trumpet,48
E5,E,Trumpet,49
E5,E,Trumpet,50
D5,D,Trumpet,51
C5,C,Trumpet,52
C5,C,Trumpet,53
B4,B,Trumpet,54
A4,A,Trumpet,55
A4,A,Trumpet,56
G4,G,Trumpet,57
G4,G,Trumpet,58
F#4,F#,Trumpet,59
E4,E,Trumpet,60
D4,D,Trumpet,61
G4,G,Trumpet,62
B4,B,Trumpet,63
E5,E,Trumpet,64
D5,D,Trumpet,65
C5,C,Trumpet,66
A4,A,Trumpet,67
G4,G,Trumpet,68
G4,G,Trumpet,69
G4,G,Trumpet,70
G4,G,Trumpet,71
G4,G,Trumpet,72
G4,G,Trumpet,73
G4,G,Trumpet,74
G4,G,Trumpet,75
G4,G,Trumpet,76
G4,G,Trumpet,77
G4,G,Trumpet,78
F4,F,Trumpet,79
G4,G,Trumpet,80
G#4,G#,Trumpet,81
B-4,B-,Trumpet,82
G4,G,Trumpet,83
G#4,G#,Trumpet,84
G4,G,Trumpet,85
F4,F,Trumpet,86
E-4,E-,Trumpet,87
F4,F,Trumpet,88
G4,G,Trumpet,89
G#4,G#,Trumpet,90
B-4,B-,Trumpet,91
D5,D,Trumpet,92
C5,C,Trumpet,93
B-4,B-,Trumpet,94
G#4,G#,Trumpet,95
G4,G,Trumpet,96
G4,G,Trumpet,97
G4,G,Trumpet,98
G4,G,Trumpet,99
A4,A,Trumpet,100
G4,G,Trumpet,101
A4,A,Trumpet,102
G4,G,Trumpet,103
A4,A,Trumpet,104
G4,G,Trumpet,105
A4,A,Trumpet,106
G4,G,Trumpet,107
F4,F,Trumpet,108
E4,E,Trumpet,109
G4,G,Trumpet,110
G4,G,Trumpet,111
A4,A,Trumpet,112
G4,G,Trumpet,113
C5,C,Trumpet,114
B4,B,Trumpet,115
A4,A,Trumpet,116
A4,A,Trumpet,117
G4,G,Trumpet,118
F4,F,Trumpet,119
E4,E,Trumpet,120
G4,G,Trumpet,121
G4,G,Trumpet,122
G4,G,Trumpet,123
A4,A,Trumpet,124
G4,G,Trumpet,125
A4,A,Trumpet,126
G4,G,Trumpet,127
A4,A,Trumpet,128
G4,G,Trumpet,129
A4,A,Trumpet,130
G4,G,Trumpet,131
A4,A,Trumpet,132
B4,B,Trumpet,133
C5,C,Trumpet,134
A4,A,Trumpet,135
F4,F,Trumpet,136
A4,A,Trumpet,137
A4,A,Trumpet,138
G4,G,Trumpet,139
C5,C,Trumpet,140
B4,B,Trumpet,141
A4,A,Trumpet,142
A4,A,Trumpet,143
G4,G,Trumpet,144
F4,F,Trumpet,145
E4,E,Trumpet,146
C5,C,Trumpet,147
C5,C,Trumpet,148
C5,C,Trumpet,149
C5,C,Trumpet,150
C5,C,Trumpet,151
E-5,E-,Trumpet,152
C#5,C#,Trumpet,153
C5,C,Trumpet,154
G#4,G#,Trumpet,155
E-5,E-,Trumpet,156
E-5,E-,Trumpet,157
C#5,C#,Trumpet,158
C5,C,Trumpet,159
G#4,G#,Trumpet,160
B-4,B-,Trumpet,161
G#4,G#,Trumpet,162
G4,G,Trumpet,163
F4,F,Trumpet,164
G4,G,Trumpet,165
G#4,G#,Trumpet,166
B-4,B-,Trumpet,167
C5,C,Trumpet,168
C#5,C#,Trumpet,169
D5,D,Trumpet,170
E-5,E-,Trumpet,171
C5,C,Trumpet,172
E-5,E-,Trumpet,173
C#5,C#,Trumpet,174
C5,C,Trumpet,175
B-4,B-,Trumpet,176
G#4,G#,Trumpet,177
C5,C,Trumpet,178
C5,C,Trumpet,179
C5,C,Trumpet,180
C#5,C#,Trumpet,181
E-5,E-,Trumpet,182
C5,C,Trumpet,183
C5,C,Trumpet,184
D5,D,Trumpet,185
E5,E,Trumpet,186
C5,C,Trumpet,187
C5,C,Trumpet,188
D5,D,Trumpet,189
B4,B,Trumpet,190
B4,B,Trumpet,191
C5,C,Trumpet,192
C5,C,Trumpet,193
D5,D,Trumpet,194
E5,E,Trumpet,195
C5,C,Trumpet,196
C5,C,Trumpet,197
D5,D,Trumpet,198
B4,B,Trumpet,199
B4,B,Trumpet,200
C5,C,Trumpet,201
C5,C,Trumpet,202
D5,D,Trumpet,203
E5,E,Trumpet,204
C5,C,Trumpet,205
C5,C,Trumpet,206
D5,D,Trumpet,207
B4,B,Trumpet,208
B4,B,Trumpet,209
C5,C,Trumpet,210
C5,C,Trumpet,211
C5,C,Trumpet,212
C5,C,Trumpet,213
C5,C,Trumpet,214
C5,C,Trumpet,215
C5,C,Trumpet,216
E5,E,Trumpet,217
C5,C,Trumpet,218
C5,C,Trumpet,219
E4,E,Horn,0
D4,D,Horn,1
C4,C,Horn,2
B3,B,Horn,3
A3,A,Horn,4
G3,G,Horn,5
F3,F,Horn,6
A3,A,Horn,7
D4,D,Horn,8
C4,C,Horn,9
A3,A,Horn,10
G3,G,Horn,11
C4,C,Horn,12
B3,B,Horn,13
D4,D,Horn,14
C4,C,Horn,15
C4,C,Horn,16
G3,G,Horn,17
E4,E,Horn,18
C5,C,Horn,19
C5,C,Horn,20
B4,B,Horn,21
A4,A,Horn,22
A4,A,Horn,23
G4,G,Horn,24
F4,F,Horn,25
F4,F,Horn,26
E4,E,Horn,27
D4,D,Horn,28
C4,C,Horn,29
B3,B,Horn,30
C4,C,Horn,31
D4,D,Horn,32
E4,E,Horn,33
F4,F,Horn,34
G4,G,Horn,35
A4,A,Horn,36
B4,B,Horn,37
C5,C,Horn,38
E4,E,Horn,39
E4,E,Horn,40
C5,C,Horn,41
C5,C,Horn,42
B4,B,Horn,43
A4,A,Horn,44
A4,A,Horn,45
G4,G,Horn,46
F4,F,Horn,47
F4,F,Horn,48
E4,E,Horn,49
D4,D,Horn,50
G4,G,Horn,51
C4,C,Horn,52
E4,E,Horn,53
G4,G,Horn,54
C5,C,Horn,55
G4,G,Horn,56
G4,G,Horn,57
G4,G,Horn,58
A4,A,Horn,59
G4,G,Horn,60
A4,A,Horn,61
G4,G,Horn,62
A4,A,Horn,63
G4,G,Horn,64
A4,A,Horn,65
G4,G,Horn,66
A4,A,Horn,67
B4,B,Horn,68
C5,C,Horn,69
A4,A,Horn,70
F4,F,Horn,71
A4,A,Horn,72
A4,A,Horn,73
G4,G,Horn,74
C5,C,Horn,75
B4,B,Horn,76
A4,A,Horn,77
A4,A,Horn,78
G4,G,Horn,79
F4,F,Horn,80
C4,C,Horn,81
C4,C,Horn,82
C4,C,Horn,83
C4,C,Horn,84
E-4,E-,Horn,85
C#4,C#,Horn,86
C4,C,Horn,87
G#3,G#,Horn,88
E-4,E-,Horn,89
E-4,E-,Horn,90
C#4,C#,Horn,91
C4,C,Horn,92
G#3,G#,Horn,93
B-3,B-,Horn,94
G#3,G#,Horn,95
G3,G,Horn,96
F3,F,Horn,97
G3,G,Horn,98
G#3,G#,Horn,99
B-3,B-,Horn,100
C4,C,Horn,101
C#4,C#,Horn,102
D4,D,Horn,103
E-4,E-,Horn,104
C4,C,Horn,105
E-4,E-,Horn,106
C#4,C#,Horn,107
C4,C,Horn,108
B-3,B-,Horn,109
G#3,G#,Horn,110
C4,C,Horn,111
C4,C,Horn,112
C4,C,Horn,113
C#4,C#,Horn,114
E-4,E-,Horn,115
C4,C,Horn,116
C4,C,Horn,117
D4,D,Horn,118
E4,E,Horn,119
C4,C,Horn,120
C4,C,Horn,121
D4,D,Horn,122
B3,B,Horn,123
B3,B,Horn,124
C4,C,Horn,125
C4,C,Horn,126
D4,D,Horn,127
E4,E,Horn,128
C4,C,Horn,129
C4,C,Horn,130
D4,D,Horn,131
B3,B,Horn,132
B3,B,Horn,133
C4,C,Horn,134
C4,C,Horn,135
D4,D,Horn,136
E4,E,Horn,137
C4,C,Horn,138
C4,C,Horn,139
D4,D,Horn,140
B3,B,Horn,141
B3,B,Horn,142
C4,C,Horn,143
E4,E,Horn,144
G4,G,Horn,145
G4,G,Horn,146
E4,E,Horn,147
E4,E,Horn,148
G4,G,Horn,149
G4,G,Horn,150
C5,C,Horn,151
E4,E,Bass Trombone,0
D4,D,Bass Trombone,1
C4,C,Bass Trombone,2
B3,B,Bass Trombone,3
A3,A,Bass Trombone,4
G3,G,Bass Trombone,5
F3,F,Bass Trombone,6
A3,A,Bass Trombone,7
D4,D,Bass Trombone,8
C3,C,Bass Trombone,9
C3,C,Bass Trombone,10
G2,G,Bass Trombone,11
C3,C,Bass Trombone,12
C4,C,Bass Trombone,13
G3,G,Bass Trombone,14
E3,E,Bass Trombone,15
C3,C,Bass Trombone,16
D3,D,Bass Trombone,17
G3,G,Bass Trombone,18
B3,B,Bass Trombone,19
F#3,F#,Bass Trombone,20
B3,B,Bass Trombone,21
G3,G,Bass Trombone,22
D3,D,Bass Trombone,23
B2,B,Bass Trombone,24
G2,G,Bass Trombone,25
G#3,G#,Bass Trombone,26
F3,F,Bass Trombone,27
B-3,B-,Bass Trombone,28
F3,F,Bass Trombone,29
B-3,B-,Bass Trombone,30
G3,G,Bass Trombone,31
G3,G,Bass Trombone,32
E3,E,Bass Trombone,33
G3,G,Bass Trombone,34
C4,C,Bass Trombone,35
A3,A,Bass Trombone,36
C4,C,Bass Trombone,37
B3,B,Bass Trombone,38
F3,F,Bass Trombone,39
G3,G,Bass Trombone,40
F3,F,Bass Trombone,41
G3,G,Bass Trombone,42
C4,C,Bass Trombone,43
A3,A,Bass Trombone,44
C4,C,Bass Trombone,45
C4,C,Bass Trombone,46
G3,G,Bass Trombone,47
G3,G,Bass Trombone,48
G3,G,Bass Trombone,49
C3,C,Bass Trombone,50
C4,C,Bass Trombone,51
C4,C,Bass Trombone,52
C4,C,Bass Trombone,53
C4,C,Bass Trombone,54
C4,C,Bass Trombone,55
B-3,B-,Bass Trombone,56
B-3,B-,Bass Trombone,57
G3,G,Bass Trombone,58
G3,G,Bass Trombone,59
C4,C,Bass Trombone,60
G3,G,Bass Trombone,61
F3,F,Bass Trombone,62
G3,G,Bass Trombone,63
B3,B,Bass Trombone,64
C3,C,Bass Trombone,65
D3,D,Bass Trombone,66
E3,E,Bass Trombone,67
F3,F,Bass Trombone,68
E3,E,Bass Trombone,69
F3,F,Bass Trombone,70
F#3,F#,Bass Trombone,71
G3,G,Bass Trombone,72
G3,G,Bass Trombone,73
C4,C,Bass Trombone,74
G3,G,Bass Trombone,75
F3,F,Bass Trombone,76
G3,G,Bass Trombone,77
B3,B,Bass Trombone,78
C3,C,Bass Trombone,79
D3,D,Bass Trombone,80
E3,E,Bass Trombone,81
F3,F,Bass Trombone,82
E3,E,Bass Trombone,83
F3,F,Bass Trombone,84
F#3,F#,Bass Trombone,85
G3,G,Bass Trombone,86
G3,G,Bass Trombone,87
G3,G,Bass Trombone,88
G3,G,Bass Trombone,89
C3,C,Bass Trombone,90
E3,E,Bass Trombone,91
E2,E,Tuba,0
D2,D,Tuba,1
C2,C,Tuba,2
B1,B,Tuba,3
A1,A,Tuba,4
G1,G,Tuba,5
F1,F,Tuba,6
A1,A,Tuba,7
D2,D,Tuba,8
G1,G,Tuba,9
G1,G,Tuba,10
G1,G,Tuba,11
G1,G,Tuba,12
C2,C,Tuba,13
C2,C,Tuba,14
C2,C,Tuba,15
G1,G,Tuba,16
C2,C,Tuba,17
C3,C,Tuba,18
G2,G,Tuba,19
E2,E,Tuba,20
C2,C,Tuba,21
C2,C,Tuba,22
C2,C,Tuba,23
C2,C,Tuba,24
C2,C,Tuba,25
C2,C,Tuba,26
G1,G,Tuba,27
G1,G,Tuba,28
G1,G,Tuba,29
G1,G,Tuba,30
C2,C,Tuba,31
C2,C,Tuba,32
C2,C,Tuba,33
C2,C,Tuba,34
C2,C,Tuba,35
C2,C,Tuba,36
C2,C,Tuba,37
C2,C,Tuba,38
C2,C,Tuba,39
C2,C,Tuba,40
C2,C,Tuba,41
C2,C,Tuba,42
C2,C,Tuba,43
C2,C,Tuba,44
D2,D,Tuba,45
D2,D,Tuba,46
D2,D,Tuba,47
D2,D,Tuba,48
G2,G,Tuba,49
G2,G,Tuba,50
D2,D,Tuba,51
B1,B,Tuba,52
G1,G,Tuba,53
E-2,E-,Tuba,54
B-1,B-,Tuba,55
E-2,E-,Tuba,56
B-1,B-,Tuba,57
E-2,E-,Tuba,58
B-1,B-,Tuba,59
E-2,E-,Tuba,60
B-1,B-,Tuba,61
D2,D,Tuba,62
B-1,B-,Tuba,63
D2,D,Tuba,64
B-1,B-,Tuba,65
E-2,E-,Tuba,66
B-1,B-,Tuba,67
E-2,E-,Tuba,68
D2,D,Tuba,69
C2,C,Tuba,70
C2,C,Tuba,71
D2,D,Tuba,72
D2,D,Tuba,73
E2,E,Tuba,74
E2,E,Tuba,75
E2,E,Tuba,76
E2,E,Tuba,77
F2,F,Tuba,78
E2,E,Tuba,79
D2,D,Tuba,80
G1,G,Tuba,81
C2,C,Tuba,82
C2,C,Tuba,83
C2,C,Tuba,84
C2,C,Tuba,85
C2,C,Tuba,86
C2,C,Tuba,87
D2,D,Tuba,88
D2,D,Tuba,89
E2,E,Tuba,90
F2,F,Tuba,91
F2,F,Tuba,92
F2,F,Tuba,93
G2,G,Tuba,94
E2,E,Tuba,95
G1,G,Tuba,96
G2,G,Tuba,97
C2,C,Tuba,98
C2,C,Tuba,99
G#1,G#,Tuba,100
G#1,G#,Tuba,101
E-2,E-,Tuba,102
G#1,G#,Tuba,103
G#1,G#,Tuba,104
G#1,G#,Tuba,105
G1,G,Tuba,106
E2,E,Tuba,107
G1,G,Tuba,108
D2,D,Tuba,109
C2,C,Tuba,110
C2,C,Tuba,111
D2,D,Tuba,112
E2,E,Tuba,113
F2,F,Tuba,114
E2,E,Tuba,115
F2,F,Tuba,116
F#2,F#,Tuba,117
G2,G,Tuba,118
E2,E,Tuba,119
G1,G,Tuba,120
D2,D,Tuba,121
C2,C,Tuba,122
C2,C,Tuba,123
D2,D,Tuba,124
E2,E,Tuba,125
F2,F,Tuba,126
E2,E,Tuba,127
F2,F,Tuba,128
F#2,F#,Tuba,129
G2,G,Tuba,130
G1,G,Tuba,131
C2,C,Tuba,132
C2,C,Tuba,133
C2,C,Tuba,134
C2,C,Tuba,135
C2,C,Tuba,136
C2,C,Tuba,137
C2,C,Tuba,138
C2,C,Tuba,139
C2,C,Tuba,140
C2,C,Tuba,141
G5,G,StringInstrument,0
G4,G,StringInstrument,1
C6,C,StringInstrument,2
C5,C,StringInstrument,3
A4,A,StringInstrument,4
A5,A,StringInstrument,5
E4,E,StringInstrument,6
E5,E,StringInstrument,7
D5,D,StringInstrument,8
D4,D,StringInstrument,9
C5,C,StringInstrument,10
C6,C,StringInstrument,11
G5,G,StringInstrument,12
G4,G,StringInstrument,13
G5,G,StringInstrument,14
G4,G,StringInstrument,15
G4,G,StringInstrument,16
G5,G,StringInstrument,17
G#4,G#,StringInstrument,18
G#5,G#,StringInstrument,19
F5,F,StringInstrument,20
F4,F,StringInstrument,21
E-4,E-,StringInstrument,22
E-5,E-,StringInstrument,23
G#4,G#,StringInstrument,24
G#5,G#,StringInstrument,25
C6,C,StringInstrument,26
C5,C,StringInstrument,27
G4,G,StringInstrument,28
G5,G,StringInstrument,29
G5,G,StringInstrument,30
G4,G,StringInstrument,31
G4,G,StringInstrument,32
G5,G,StringInstrument,33
A4,A,StringInstrument,34
A5,A,StringInstrument,35
A4,A,StringInstrument,36
A5,A,StringInstrument,37
F5,F,StringInstrument,38
F4,F,StringInstrument,39
G4,G,StringInstrument,40
G5,G,StringInstrument,41
A4,A,StringInstrument,42
A5,A,StringInstrument,43
G#4,G#,StringInstrument,44
G#5,G#,StringInstrument,45
E-6,E-,StringInstrument,46
