NoteOctave,Note,Instrument,Position
C4,C,Trumpet,0
C4,C,Trumpet,1
G4,G,Trumpet,2
C4,C,Trumpet,3
C4,C,Trumpet,4
A4,A,Trumpet,5
C5,C,Trumpet,6
C5,C,Trumpet,7
C5,C,Trumpet,8
B-4,B-,Trumpet,9
A4,A,Trumpet,10
A4,A,Trumpet,11
C5,C,Trumpet,12
B4,B,Trumpet,13
A4,A,Trumpet,14
G4,G,Trumpet,15
F4,F,Trumpet,16
D4,D,Trumpet,17
G4,G,Trumpet,18
C4,C,Trumpet,19
C4,C,Trumpet,20
C4,C,Trumpet,21
D4,D,Trumpet,22
E4,E,Trumpet,23
F4,F,Trumpet,24
F4,F,Trumpet,25
F4,F,Trumpet,26
F4,F,Trumpet,27
E4,E,Trumpet,28
F4,F,Trumpet,29
A4,A,Trumpet,30
G4,G,Trumpet,31
F4,F,Trumpet,32
F4,F,Trumpet,33
A4,A,Trumpet,34
C5,C,Trumpet,35
D5,D,Trumpet,36
B-4,B-,Trumpet,37
A4,A,Trumpet,38
C5,C,Trumpet,39
B-4,B-,Trumpet,40
G4,G,Trumpet,41
F4,F,Trumpet,42
F4,F,Trumpet,43
F4,F,Trumpet,44
F4,F,Trumpet,45
C4,C,Trumpet,46
C4,C,Trumpet,47
G4,G,Trumpet,48
C4,C,Trumpet,49
C4,C,Trumpet,50
A4,A,Trumpet,51
C5,C,Trumpet,52
C5,C,Trumpet,53
C5,C,Trumpet,54
B-4,B-,Trumpet,55
A4,A,Trumpet,56
A4,A,Trumpet,57
C5,C,Trumpet,58
B4,B,Trumpet,59
A4,A,Trumpet,60
G4,G,Trumpet,61
F4,F,Trumpet,62
D4,D,Trumpet,63
G4,G,Trumpet,64
C4,C,Trumpet,65
C4,C,Trumpet,66
C4,C,Trumpet,67
D4,D,Trumpet,68
E4,E,Trumpet,69
F4,F,Trumpet,70
F4,F,Trumpet,71
F4,F,Trumpet,72
F4,F,Trumpet,73
E4,E,Trumpet,74
F4,F,Trumpet,75
A4,A,Trumpet,76
G4,G,Trumpet,77
F4,F,Trumpet,78
F4,F,Trumpet,79
A4,A,Trumpet,80
C5,C,Trumpet,81
D5,D,Trumpet,82
B-4,B-,Trumpet,83
A4,A,Trumpet,84
C5,C,Trumpet,85
B-4,B-,Trumpet,86
G4,G,Trumpet,87
F4,F,Trumpet,88
F4,F,Trumpet,89
F4,F,Trumpet,90
F4,F,Trumpet,91
F4,F,Trumpet,92
A4,A,Trumpet,93
C5,C,Trumpet,94
A4,A,Trumpet,95
F4,F,Trumpet,96
G4,G,Trumpet,97
G4,G,Trumpet,98
A4,A,Trumpet,99
F4,F,Trumpet,100
C4,C,Trumpet,101
F4,F,Trumpet,102
F4,F,Trumpet,103
D5,D,Trumpet,104
C5,C,Trumpet,105
C5,C,Trumpet,106
B-4,B-,Trumpet,107
A4,A,Trumpet,108
A4,A,Trumpet,109
G4,G,Trumpet,110
G4,G,Trumpet,111
G4,G,Trumpet,112
G4,G,Trumpet,113
B-4,B-,Trumpet,114
B-4,B-,Trumpet,115
B-4,B-,Trumpet,116
A4,A,Trumpet,117
G4,G,Trumpet,118
A4,A,Trumpet,119
B-4,B-,Trumpet,120
C5,C,Trumpet,121
F4,F,Trumpet,122
F4,F,Trumpet,123
B-4,B-,Trumpet,124
B-4,B-,Trumpet,125
B-4,B-,Trumpet,126
A4,A,Trumpet,127
A4,A,Trumpet,128
G4,G,Trumpet,129
F4,F,Trumpet,130
E4,E,Horn,0
C4,C,Horn,1
A4,A,Horn,2
F4,F,Horn,3
C4,C,Horn,4
B-4,B-,Horn,5
G4,G,Horn,6
G4,G,Horn,7
E4,E,Horn,8
F4,F,Horn,9
F4,F,Horn,10
A4,A,Horn,11
G4,G,Horn,12
D4,D,Horn,13
F4,F,Horn,14
D4,D,Horn,15
B3,B,Horn,16
D4,D,Horn,17
B3,B,Horn,18
C4,C,Horn,19
G3,G,Horn,20
G3,G,Horn,21
E4,E,Horn,22
C4,C,Horn,23
A3,A,Horn,24
E4,E,Horn,25
A3,A,Horn,26
E4,E,Horn,27
A3,A,Horn,28
F4,F,Horn,29
A3,A,Horn,30
A4,A,Horn,31
B-4,B-,Horn,32
G4,G,Horn,33
F4,F,Horn,34
E4,E,Horn,35
C4,C,Horn,36
E4,E,Horn,37
C4,C,Horn,38
F4,F,Horn,39
C4,C,Horn,40
C4,C,Horn,41
A4,A,Horn,42
B-4,B-,Horn,43
G4,G,Horn,44
F4,F,Horn,45
F4,F,Horn,46
G4,G,Horn,47
F4,F,Horn,48
F4,F,Horn,49
B3,B,Horn,50
G3,G,Horn,51
C4,C,Horn,52
G3,G,Horn,53
E4,E,Horn,54
