NoteOctave,Note,Instrument,Position
G4,G,Trumpet,0
G4,G,Trumpet,1
G4,G,Trumpet,2
A4,A,Trumpet,3
E4,E,Trumpet,4
G4,G,Trumpet,5
F4,F,Trumpet,6
F4,F,Trumpet,7
A4,A,Trumpet,8
A4,A,Trumpet,9
B4,B,Trumpet,10
F4,F,Trumpet,11
A4,A,Trumpet,12
G4,G,Trumpet,13
G4,G,Trumpet,14
C5,C,Trumpet,15
C5,C,Trumpet,16
B4,B,Trumpet,17
G#4,G#,Trumpet,18
A4,A,Trumpet,19
C5,C,Trumpet,20
G4,G,Trumpet,21
G4,G,Trumpet,22
A4,A,Trumpet,23
A4,A,Trumpet,24
G4,G,Trumpet,25
E4,E,Trumpet,26
C4,C,Trumpet,27
E4,E,Trumpet,28
D4,D,Trumpet,29
E4,E,Trumpet,30
E4,E,Trumpet,31
B4,B,Trumpet,32
E4,E,Trumpet,33
A4,A,Trumpet,34
B4,B,Trumpet,35
C5,C,Trumpet,36
B4,B,Trumpet,37
A4,A,Trumpet,38
B4,B,Trumpet,39
G4,G,Trumpet,40
G4,G,Trumpet,41
G4,G,Trumpet,42
G4,G,Trumpet,43
E4,E,Trumpet,44
F#4,F#,Trumpet,45
G4,G,Trumpet,46
E4,E,Trumpet,47
E4,E,Trumpet,48
G4,G,Trumpet,49
G4,G,Trumpet,50
C5,C,Trumpet,51
C5,C,Trumpet,52
D5,D,Trumpet,53
D5,D,Trumpet,54
D5,D,Trumpet,55
E5,E,Trumpet,56
D5,D,Trumpet,57
C5,C,Trumpet,58
C5,C,Trumpet,59
B4,B,Trumpet,60
C5,C,Trumpet,61
E4,E,Trumpet,62
G4,G,Trumpet,63
G4,G,Trumpet,64
G4,G,Trumpet,65
C5,C,Trumpet,66
C5,C,Trumpet,67
D5,D,Trumpet,68
E5,E,Trumpet,69
D5,D,Trumpet,70
C5,C,Trumpet,71
C5,C,Trumpet,72
D5,D,Trumpet,73
C5,C,Trumpet,74
B3,B,Horn,0
C4,C,Horn,1
C#4,C#,Horn,2
A3,A,Horn,3
D4,D,Horn,4
A3,A,Horn,5
D4,D,Horn,6
F4,F,Horn,7
D4,D,Horn,8
C4,C,Horn,9
E-4,E-,Horn,10
E4,E,Horn,11
G3,G,Horn,12
E4,E,Horn,13
D4,D,Horn,14
F4,F,Horn,15
C4,C,Horn,16
F4,F,Horn,17
A4,A,Horn,18
G4,G,Horn,19
C4,C,Horn,20
E4,E,Horn,21
C4,C,Horn,22
F4,F,Horn,23
B3,B,Horn,24
D4,D,Horn,25
C4,C,Horn,26
G3,G,Horn,27
A3,A,Horn,28
G3,G,Horn,29
F#3,F#,Horn,30
C4,C,Horn,31
C4,C,Horn,32
G3,G,Horn,33
B3,B,Horn,34
G#3,G#,Horn,35
B3,B,Horn,36
D4,D,Horn,37
A3,A,Horn,38
D4,D,Horn,39
G#4,G#,Horn,40
E4,E,Horn,41
A4,A,Horn,42
G3,G,Horn,43
D4,D,Horn,44
E4,E,Horn,45
G3,G,Horn,46
G3,G,Horn,47
D4,D,Horn,48
A3,A,Horn,49
C4,C,Horn,50
A3,A,Horn,51
D4,D,Horn,52
C4,C,Horn,53
B3,B,Horn,54
D4,D,Horn,55
C4,C,Horn,56
G3,G,Horn,57
E4,E,Horn,58
A4,A,Horn,59
A4,A,Horn,60
D4,D,Horn,61
F#4,F#,Horn,62
A4,A,Horn,63
E4,E,Horn,64
A4,A,Horn,65
C4,C,Horn,66
F4,F,Horn,67
C4,C,Horn,68
G4,G,Horn,69
G4,G,Horn,70
G4,G,Horn,71
G4,G,Horn,72
G4,G,Horn,73
G4,G,Horn,74
G#4,G#,Horn,75
D4,D,Horn,76
C5,C,Horn,77
B4,B,Horn,78
D4,D,Horn,79
C4,C,Horn,80
A4,A,Horn,81
G4,G,Horn,82
E4,E,Horn,83
F4,F,Horn,84
D4,D,Horn,85
G2,G,Bass Trombone,0
C3,C,Bass Trombone,1
B-2,B-,Bass Trombone,2
A2,A,Bass Trombone,3
D3,D,Bass Trombone,4
A2,A,Bass Trombone,5
D3,D,Bass Trombone,6
A2,A,Bass Trombone,7
B2,B,Bass Trombone,8
C#3,C#,Bass Trombone,9
