NoteOctave,Note,Instrument,Position
F4,F,Shakuhachi,0
B-4,B-,Shakuhachi,1
B-4,B-,Shakuhachi,2
B-4,B-,Shakuhachi,3
A4,A,Shakuhachi,4
G4,G,Shakuhachi,5
F4,F,Shakuhachi,6
E-4,E-,Shakuhachi,7
D4,D,Shakuhachi,8
F4,F,Shakuhachi,9
G4,G,Shakuhachi,10
G4,G,Shakuhachi,11
G4,G,Shakuhachi,12
A4,A,Shakuhachi,13
B-4,B-,Shakuhachi,14
C5,C,Shakuhachi,15
F4,F,Shakuhachi,16
F4,F,Shakuhachi,17
F4,F,Shakuhachi,18
D5,D,Shakuhachi,19
D5,D,Shakuhachi,20
E-5,E-,Shakuhachi,21
E-5,E-,Shakuhachi,22
D5,D,Shakuhachi,23
C5,C,Shakuhachi,24
C5,C,Shakuhachi,25
G4,G,Shakuhachi,26
G4,G,Shakuhachi,27
G4,G,Shakuhachi,28
A4,A,Shakuhachi,29
A4,A,Shakuhachi,30
A4,A,Shakuhachi,31
A4,A,Shakuhachi,32
G4,G,Shakuhachi,33
A4,A,Shakuhachi,34
B-4,B-,Shakuhachi,35
F4,F,Shakuhachi,36
D5,D,Shakuhachi,37
D5,D,Shakuhachi,38
E-5,E-,Shakuhachi,39
D5,D,Shakuhachi,40
C5,C,Shakuhachi,41
C5,C,Shakuhachi,42
G4,G,Shakuhachi,43
G4,G,Shakuhachi,44
G4,G,Shakuhachi,45
C5,C,Shakuhachi,46
C5,C,Shakuhachi,47
D5,D,Shakuhachi,48
C5,C,Shakuhachi,49
B-4,B-,Shakuhachi,50
A4,A,Shakuhachi,51
G4,G,Shakuhachi,52
F4,F,Shakuhachi,53
D4,D,Shakuhachi,54
E-4,E-,Shakuhachi,55
F4,F,Shakuhachi,56
F4,F,Shakuhachi,57
F4,F,Shakuhachi,58
G4,G,Shakuhachi,59
A4,A,Shakuhachi,60
B-4,B-,Shakuhachi,61
C5,C,Shakuhachi,62
D5,D,Shakuhachi,63
G4,G,Shakuhachi,64
E-5,E-,Shakuhachi,65
D5,D,Shakuhachi,66
D5,D,Shakuhachi,67
C5,C,Shakuhachi,68
G4,G,Shakuhachi,69
A4,A,Shakuhachi,70
B-4,B-,Shakuhachi,71
F2,F,Acoustic Bass,0
B-2,B-,Acoustic Bass,1
B-2,B-,Acoustic Bass,2
B-2,B-,Acoustic Bass,3
C3,C,Acoustic Bass,4
D3,D,Acoustic Bass,5
E-3,E-,Acoustic Bass,6
F3,F,Acoustic Bass,7
F2,F,Acoustic Bass,8
E-3,E-,Acoustic Bass,9
E-3,E-,Acoustic Bass,10
E-3,E-,Acoustic Bass,11
D3,D,Acoustic Bass,12
C3,C,Acoustic Bass,13
B-2,B-,Acoustic Bass,14
F2,F,Acoustic Bass,15
F3,F,Acoustic Bass,16
F3,F,Acoustic Bass,17
F3,F,Acoustic Bass,18
B-2,B-,Acoustic Bass,19
A2,A,Acoustic Bass,20
G2,G,Acoustic Bass,21
D3,D,Acoustic Bass,22
F2,F,Acoustic Bass,23
G2,G,Acoustic Bass,24
G2,G,Acoustic Bass,25
G2,G,Acoustic Bass,26
F2,F,Acoustic Bass,27
F3,F,Acoustic Bass,28
F3,F,Acoustic Bass,29
E-3,E-,Acoustic Bass,30
D3,D,Acoustic Bass,31
C3,C,Acoustic Bass,32
B-2,B-,Acoustic Bass,33
F3,F,Acoustic Bass,34
B-2,B-,Acoustic Bass,35
F3,F,Acoustic Bass,36
D3,D,Acoustic Bass,37
D3,D,Acoustic Bass,38
C3,C,Acoustic Bass,39
D3,D,Acoustic Bass,40
F3,F,Acoustic Bass,41
G3,G,Acoustic Bass,42
G3,G,Acoustic Bass,43
E-3,E-,Acoustic Bass,44
E-3,E-,Acoustic Bass,45
B-2,B-,Acoustic Bass,46
C3,C,Acoustic Bass,47
D3,D,Acoustic Bass,48
E-3,E-,Acoustic Bass,49
F3,F,Acoustic Bass,50
F3,F,Acoustic Bass,51
F3,F,Acoustic Bass,52
F3,F,Acoustic Bass,53
F3,F,Acoustic Bass,54
E-3,E-,Acoustic Bass,55
D3,D,Acoustic Bass,56
C3,C,Acoustic Bass,57
B-2,B-,Acoustic Bass,58
A2,A,Acoustic Bass,59
G2,G,Acoustic Bass,60
G3,G,Acoustic Bass,61
E-3,E-,Acoustic Bass,62
E-3,E-,Acoustic Bass,63
E3,E,Acoustic Bass,64
F3,F,Acoustic Bass,65
B-2,B-,Acoustic Bass,66
F3,F,Acoustic Bass,67
B-2,B-,Acoustic Bass,68
