NoteOctave,Note,Instrument,Position
D4,D,Trumpet,0
G4,G,Trumpet,1
G4,G,Trumpet,2
A4,A,Trumpet,3
B4,B,Trumpet,4
C5,C,Trumpet,5
A4,A,Trumpet,6
B4,B,Trumpet,7
A4,A,Trumpet,8
B4,B,Trumpet,9
C5,C,Trumpet,10
B4,B,Trumpet,11
A4,A,Trumpet,12
G4,G,Trumpet,13
A4,A,Trumpet,14
G4,G,Trumpet,15
D4,D,Trumpet,16
G4,G,Trumpet,17
G4,G,Trumpet,18
A4,A,Trumpet,19
B4,B,Trumpet,20
C5,C,Trumpet,21
A4,A,Trumpet,22
B4,B,Trumpet,23
A4,A,Trumpet,24
B4,B,Trumpet,25
C5,C,Trumpet,26
B4,B,Trumpet,27
A4,A,Trumpet,28
G4,G,Trumpet,29
A4,A,Trumpet,30
G4,G,Trumpet,31
B4,B,Trumpet,32
C5,C,Trumpet,33
D5,D,Trumpet,34
E5,E,Trumpet,35
D5,D,Trumpet,36
C5,C,Trumpet,37
B4,B,Trumpet,38
A4,A,Trumpet,39
B4,B,Trumpet,40
C5,C,Trumpet,41
B4,B,Trumpet,42
A4,A,Trumpet,43
G4,G,Trumpet,44
A4,A,Trumpet,45
D4,D,Trumpet,46
G4,G,Trumpet,47
F#4,F#,Trumpet,48
G4,G,Trumpet,49
A4,A,Trumpet,50
B4,B,Trumpet,51
A4,A,Trumpet,52
G4,G,Trumpet,53
F#4,F#,Trumpet,54
D4,D,Trumpet,55
E4,E,Trumpet,56
F#4,F#,Trumpet,57
G4,G,Trumpet,58
G4,G,Trumpet,59
F#4,F#,Trumpet,60
G4,G,Trumpet,61
D4,D,Horn,0
B3,B,Horn,1
D4,D,Horn,2
E4,E,Horn,3
B3,B,Horn,4
E4,E,Horn,5
D4,D,Horn,6
G4,G,Horn,7
D4,D,Horn,8
C4,C,Horn,9
G4,G,Horn,10
E4,E,Horn,11
D4,D,Horn,12
F#4,F#,Horn,13
C4,C,Horn,14
B3,B,Horn,15
D4,D,Horn,16
D4,D,Horn,17
B3,B,Horn,18
D4,D,Horn,19
E4,E,Horn,20
F#4,F#,Horn,21
D4,D,Horn,22
D4,D,Horn,23
G4,G,Horn,24
D4,D,Horn,25
C4,C,Horn,26
G4,G,Horn,27
E4,E,Horn,28
D4,D,Horn,29
F#4,F#,Horn,30
C4,C,Horn,31
