NoteOctave,Note,Instrument,Position
G4,G,Trumpet,0
C4,C,Trumpet,1
G4,G,Trumpet,2
C5,C,Trumpet,3
D5,D,Trumpet,4
E5,E,Trumpet,5
C5,C,Trumpet,6
G4,G,Trumpet,7
C4,C,Trumpet,8
E4,E,Trumpet,9
G4,G,Trumpet,10
C5,C,Trumpet,11
D5,D,Trumpet,12
B4,B,Trumpet,13
A4,A,Trumpet,14
G4,G,Trumpet,15
G4,G,Trumpet,16
F4,F,Trumpet,17
G4,G,Trumpet,18
A4,A,Trumpet,19
B4,B,Trumpet,20
C5,C,Trumpet,21
D5,D,Trumpet,22
E5,E,Trumpet,23
C5,C,Trumpet,24
D5,D,Trumpet,25
E5,E,Trumpet,26
F5,F,Trumpet,27
D5,D,Trumpet,28
C5,C,Trumpet,29
C5,C,Trumpet,30
C5,C,Trumpet,31
G4,G,Trumpet,32
A4,A,Trumpet,33
G4,G,Trumpet,34
F4,F,Trumpet,35
E4,E,Trumpet,36
C4,C,Trumpet,37
E4,E,Trumpet,38
C4,C,Trumpet,39
E4,E,Trumpet,40
F#4,F#,Trumpet,41
G4,G,Trumpet,42
A4,A,Trumpet,43
A4,A,Trumpet,44
G4,G,Trumpet,45
F4,F,Trumpet,46
E4,E,Trumpet,47
D4,D,Trumpet,48
C4,C,Trumpet,49
C5,C,Trumpet,50
D5,D,Trumpet,51
E5,E,Trumpet,52
F5,F,Trumpet,53
D5,D,Trumpet,54
C5,C,Trumpet,55
C5,C,Trumpet,56
G4,G,Horn,0
C4,C,Horn,1
G4,G,Horn,2
C5,C,Horn,3
D5,D,Horn,4
E5,E,Horn,5
C5,C,Horn,6
G4,G,Horn,7
G3,G,Horn,8
C4,C,Horn,9
G3,G,Horn,10
E4,E,Horn,11
C4,C,Horn,12
F#4,F#,Horn,13
D4,D,Horn,14
F#4,F#,Horn,15
C4,C,Horn,16
G3,G,Horn,17
C4,C,Horn,18
A3,A,Horn,19
C4,C,Horn,20
C4,C,Horn,21
G3,G,Horn,22
F4,F,Horn,23
D4,D,Horn,24
G4,G,Horn,25
B4,B,Horn,26
G4,G,Horn,27
C5,C,Horn,28
G4,G,Horn,29
B4,B,Horn,30
A4,A,Horn,31
C5,C,Horn,32
C5,C,Horn,33
G4,G,Horn,34
B4,B,Horn,35
F4,F,Horn,36
F4,F,Horn,37
G4,G,Horn,38
C4,C,Horn,39
F4,F,Horn,40
G3,G,Horn,41
C4,C,Horn,42
G3,G,Horn,43
B3,B,Horn,44
G3,G,Horn,45
C4,C,Horn,46
E3,E,Horn,47
E3,E,Horn,48
A3,A,Horn,49
C4,C,Horn,50
G3,G,Horn,51
B3,B,Horn,52
C4,C,Horn,53
D4,D,Horn,54
E4,E,Horn,55
C4,C,Horn,56
F4,F,Horn,57
G3,G,Horn,58
C4,C,Horn,59
