NoteOctave,Note,Instrument,Position
E-4,E-,Sitar,0
F4,F,Sitar,1
G4,G,Sitar,2
G4,G,Sitar,3
G4,G,Sitar,4
G4,G,Sitar,5
G4,G,Sitar,6
G4,G,Sitar,7
G4,G,Sitar,8
G4,G,Sitar,9
G4,G,Sitar,10
F4,F,Sitar,11
G4,G,Sitar,12
G#4,G#,Sitar,13
G4,G,Sitar,14
G4,G,Sitar,15
G4,G,Sitar,16
F4,F,Sitar,17
F4,F,Sitar,18
F4,F,Sitar,19
D4,D,Sitar,20
F4,F,Sitar,21
E-4,E-,Sitar,22
E-4,E-,Sitar,23
E-4,E-,Sitar,24
B-4,B-,Sitar,25
B-4,B-,Sitar,26
B-4,B-,Sitar,27
B-4,B-,Sitar,28
B-4,B-,Sitar,29
B-4,B-,Sitar,30
B-4,B-,Sitar,31
B-4,B-,Sitar,32
B-4,B-,Sitar,33
A4,A,Sitar,34
C5,C,Sitar,35
B-4,B-,Sitar,36
G#4,G#,Sitar,37
G#4,G#,Sitar,38
G#4,G#,Sitar,39
G#4,G#,Sitar,40
G#4,G#,Sitar,41
G4,G,Sitar,42
F4,F,Sitar,43
G#4,G#,Sitar,44
G4,G,Sitar,45
G4,G,Sitar,46
G4,G,Sitar,47
G4,G,Sitar,48
G4,G,Sitar,49
G4,G,Sitar,50
G4,G,Sitar,51
G4,G,Sitar,52
B-4,B-,Sitar,53
B-4,B-,Sitar,54
G#4,G#,Sitar,55
G#4,G#,Sitar,56
G#4,G#,Sitar,57
G4,G,Sitar,58
G4,G,Sitar,59
G4,G,Sitar,60
F4,F,Sitar,61
F4,F,Sitar,62
F4,F,Sitar,63
D4,D,Sitar,64
D4,D,Sitar,65
F4,F,Sitar,66
E-4,E-,Sitar,67
E-4,E-,Sitar,68
F4,F,Sitar,69
G4,G,Sitar,70
G4,G,Sitar,71
G4,G,Sitar,72
G4,G,Sitar,73
F4,F,Sitar,74
G4,G,Sitar,75
G#4,G#,Sitar,76
G4,G,Sitar,77
G#4,G#,Sitar,78
B-4,B-,Sitar,79
B-4,B-,Sitar,80
B-4,B-,Sitar,81
G#4,G#,Sitar,82
G4,G,Sitar,83
F4,F,Sitar,84
G#4,G#,Sitar,85
G4,G,Sitar,86
G4,G,Sitar,87
G4,G,Sitar,88
G4,G,Sitar,89
G4,G,Sitar,90
F4,F,Sitar,91
F4,F,Sitar,92
D4,D,Sitar,93
F4,F,Sitar,94
E-4,E-,Sitar,95
E-4,E-,Sitar,96
B-4,B-,Sitar,97
B-4,B-,Sitar,98
B-4,B-,Sitar,99
B-4,B-,Sitar,100
B-4,B-,Sitar,101
A4,A,Sitar,102
B-4,B-,Sitar,103
B-4,B-,Sitar,104
B-4,B-,Sitar,105
A4,A,Sitar,106
C5,C,Sitar,107
B-4,B-,Sitar,108
G#4,G#,Sitar,109
G#4,G#,Sitar,110
G#4,G#,Sitar,111
G4,G,Sitar,112
G4,G,Sitar,113
G4,G,Sitar,114
F4,F,Sitar,115
G#4,G#,Sitar,116
G4,G,Sitar,117
D5,D,Sitar,118
D5,D,Sitar,119
E-5,E-,Sitar,120
D5,D,Sitar,121
C5,C,Sitar,122
D5,D,Sitar,123
B-4,B-,Sitar,124
