NoteOctave,Note,Instrument,Position
G4,G,Trumpet,0
E4,E,Trumpet,1
C5,C,Trumpet,2
G4,G,Trumpet,3
E4,E,Trumpet,4
C5,C,Trumpet,5
B4,B,Trumpet,6
F4,F,Trumpet,7
D4,D,Trumpet,8
B4,B,Trumpet,9
D4,D,Trumpet,10
F4,F,Trumpet,11
A4,A,Trumpet,12
G4,G,Trumpet,13
E4,E,Trumpet,14
C4,C,Trumpet,15
A4,A,Trumpet,16
E4,E,Trumpet,17
G4,G,Trumpet,18
G4,G,Trumpet,19
F4,F,Trumpet,20
G4,G,Trumpet,21
A4,A,Trumpet,22
B4,B,Trumpet,23
G4,G,Trumpet,24
E5,E,Trumpet,25
C5,C,Trumpet,26
G4,G,Trumpet,27
D5,D,Trumpet,28
C5,C,Trumpet,29
C5,C,Trumpet,30
B4,B,Trumpet,31
C5,C,Trumpet,32
D5,D,Trumpet,33
A4,A,Trumpet,34
G4,G,Trumpet,35
C5,C,Trumpet,36
G4,G,Trumpet,37
C5,C,Trumpet,38
B4,B,Trumpet,39
D4,D,Trumpet,40
F4,F,Trumpet,41
G4,G,Trumpet,42
B4,B,Trumpet,43
A4,A,Trumpet,44
G4,G,Trumpet,45
E4,E,Trumpet,46
G4,G,Trumpet,47
C5,C,Trumpet,48
G4,G,Trumpet,49
G4,G,Trumpet,50
A4,A,Trumpet,51
A4,A,Trumpet,52
A4,A,Trumpet,53
B4,B,Trumpet,54
D5,D,Trumpet,55
B4,B,Trumpet,56
C5,C,Trumpet,57
C5,C,Trumpet,58
F5,F,Trumpet,59
F5,F,Trumpet,60
E5,E,Trumpet,61
D5,D,Trumpet,62
C5,C,Trumpet,63
G3,G,Horn,0
C4,C,Horn,1
G4,G,Horn,2
E4,E,Horn,3
E4,E,Horn,4
C4,C,Horn,5
C4,C,Horn,6
G3,G,Horn,7
G4,G,Horn,8
G4,G,Horn,9
D4,D,Horn,10
D4,D,Horn,11
B3,B,Horn,12
B3,B,Horn,13
F4,F,Horn,14
D4,D,Horn,15
G3,G,Horn,16
B3,B,Horn,17
D4,D,Horn,18
B3,B,Horn,19
C4,C,Horn,20
A3,A,Horn,21
C4,C,Horn,22
A3,A,Horn,23
C4,C,Horn,24
C4,C,Horn,25
G3,G,Horn,26
C4,C,Horn,27
A3,A,Horn,28
D4,D,Horn,29
F4,F,Horn,30
A3,A,Horn,31
C5,C,Horn,32
G4,G,Horn,33
E4,E,Horn,34
