NoteOctave,Note,Instrument,Position
A4,A,Trumpet,0
A4,A,Trumpet,1
A4,A,Trumpet,2
A4,A,Trumpet,3
A4,A,Trumpet,4
A4,A,Trumpet,5
B4,B,Trumpet,6
C#5,C#,Trumpet,7
C#5,C#,Trumpet,8
D5,D,Trumpet,9
C#5,C#,Trumpet,10
B4,B,Trumpet,11
A4,A,Trumpet,12
B4,B,Trumpet,13
B4,B,Trumpet,14
E5,E,Trumpet,15
D5,D,Trumpet,16
F#5,F#,Trumpet,17
E5,E,Trumpet,18
D5,D,Trumpet,19
B4,B,Trumpet,20
A4,A,Trumpet,21
C#5,C#,Trumpet,22
E5,E,Trumpet,23
D5,D,Trumpet,24
C#5,C#,Trumpet,25
B4,B,Trumpet,26
B4,B,Trumpet,27
A4,A,Trumpet,28
E5,E,Trumpet,29
D5,D,Trumpet,30
F#5,F#,Trumpet,31
E5,E,Trumpet,32
D5,D,Trumpet,33
B4,B,Trumpet,34
A4,A,Trumpet,35
C#5,C#,Trumpet,36
E5,E,Trumpet,37
D5,D,Trumpet,38
C#5,C#,Trumpet,39
B4,B,Trumpet,40
B4,B,Trumpet,41
A4,A,Trumpet,42
A3,A,Horn,0
C#4,C#,Horn,1
E4,E,Horn,2
F#4,F#,Horn,3
D4,D,Horn,4
F4,F,Horn,5
D4,D,Horn,6
E4,E,Horn,7
C#4,C#,Horn,8
E4,E,Horn,9
C#4,C#,Horn,10
E4,E,Horn,11
E4,E,Horn,12
A4,A,Horn,13
F#4,F#,Horn,14
D4,D,Horn,15
F#4,F#,Horn,16
F#4,F#,Horn,17
A3,A,Horn,18
E4,E,Horn,19
C#4,C#,Horn,20
B3,B,Horn,21
D4,D,Horn,22
B3,B,Horn,23
F#4,F#,Horn,24
D4,D,Horn,25
F#4,F#,Horn,26
E4,E,Horn,27
C#4,C#,Horn,28
A4,A,Horn,29
F#4,F#,Horn,30
G#4,G#,Horn,31
E4,E,Horn,32
A3,A,Horn,33
A3,A,Horn,34
A3,A,Horn,35
E4,E,Horn,36
C#4,C#,Horn,37
B3,B,Horn,38
E4,E,Horn,39
D4,D,Horn,40
F#4,F#,Horn,41
B4,B,Horn,42
D4,D,Horn,43
F#4,F#,Horn,44
E4,E,Horn,45
C#4,C#,Horn,46
G#4,G#,Horn,47
F#4,F#,Horn,48
E4,E,Horn,49
D4,D,Horn,50
D4,D,Horn,51
E4,E,Horn,52
C#4,C#,Horn,53
A3,A,Bass Trombone,0
A3,A,Bass Trombone,1
A3,A,Bass Trombone,2
A3,A,Bass Trombone,3
C#3,C#,Bass Trombone,4
E3,E,Bass Trombone,5
A3,A,Bass Trombone,6
B3,B,Bass Trombone,7
A3,A,Bass Trombone,8
F#3,F#,Bass Trombone,9
B2,B,Bass Trombone,10
C#3,C#,Bass Trombone,11
D3,D,Bass Trombone,12
E-3,E-,Bass Trombone,13
E3,E,Bass Trombone,14
F#3,F#,Bass Trombone,15
G#3,G#,Bass Trombone,16
F#3,F#,Bass Trombone,17
E3,E,Bass Trombone,18
D3,D,Bass Trombone,19
C#3,C#,Bass Trombone,20
A3,A,Bass Trombone,21
G#3,G#,Bass Trombone,22
E3,E,Bass Trombone,23
A3,A,Bass Trombone,24
A2,A,Bass Trombone,25
B2,B,Bass Trombone,26
D3,D,Bass Trombone,27
E3,E,Bass Trombone,28
D4,D,Bass Trombone,29
D4,D,Bass Trombone,30
E3,E,Bass Trombone,31
F#3,F#,Bass Trombone,32
G#3,G#,Bass Trombone,33
A3,A,Bass Trombone,34
C#4,C#,Bass Trombone,35
A3,A,Bass Trombone,36
G#3,G#,Bass Trombone,37
E3,E,Bass Trombone,38
A3,A,Bass Trombone,39
A2,A,Bass Trombone,40
B2,B,Bass Trombone,41
D3,D,Bass Trombone,42
E3,E,Bass Trombone,43
E2,E,Bass Trombone,44
E2,E,Bass Trombone,45
F2,F,Bass Trombone,46
F#2,F#,Bass Trombone,47
G#2,G#,Bass Trombone,48
A2,A,Bass Trombone,49
A2,A,Tuba,0
A1,A,Tuba,1
A1,A,Tuba,2
A1,A,Tuba,3
C#2,C#,Tuba,4
E2,E,Tuba,5
C#2,C#,Tuba,6
E2,E,Tuba,7
A1,A,Tuba,8
F#1,F#,Tuba,9
B1,B,Tuba,10
C#2,C#,Tuba,11
D2,D,Tuba,12
E-2,E-,Tuba,13
E2,E,Tuba,14
F#2,F#,Tuba,15
G#2,G#,Tuba,16
F#2,F#,Tuba,17
E2,E,Tuba,18
D2,D,Tuba,19
C#2,C#,Tuba,20
A2,A,Tuba,21
G#2,G#,Tuba,22
E2,E,Tuba,23
A2,A,Tuba,24
A1,A,Tuba,25
B1,B,Tuba,26
D2,D,Tuba,27
E2,E,Tuba,28
F#2,F#,Tuba,29
