NoteOctave,Note,Instrument,Position
C5,C,StringInstrument,0
C5,C,StringInstrument,1
A4,A,StringInstrument,2
F4,F,StringInstrument,3
G4,G,StringInstrument,4
A4,A,StringInstrument,5
F4,F,StringInstrument,6
G4,G,StringInstrument,7
G4,G,StringInstrument,8
C5,C,StringInstrument,9
C4,C,StringInstrument,10
A4,A,StringInstrument,11
C3,C,StringInstrument,12
C5,C,StringInstrument,13
A4,A,StringInstrument,14
C4,C,StringInstrument,15
B-4,B-,StringInstrument,16
F4,F,StringInstrument,17
D5,D,StringInstrument,18
B-4,B-,StringInstrument,19
G4,G,StringInstrument,20
D4,D,StringInstrument,21
A4,A,StringInstrument,22
F4,F,StringInstrument,23
C4,C,StringInstrument,24
F4,F,StringInstrument,25
G4,G,StringInstrument,26
C5,C,StringInstrument,27
E4,E,StringInstrument,28
C4,C,StringInstrument,29
E4,E,StringInstrument,30
C3,C,StringInstrument,31
G4,G,StringInstrument,32
F4,F,StringInstrument,33
A1,A,StringInstrument,34
A2,A,StringInstrument,35
F1,F,StringInstrument,36
F2,F,StringInstrument,37
C4,C,StringInstrument,38
C4,C,StringInstrument,39
C3,C,StringInstrument,40
C2,C,StringInstrument,41
C4,C,StringInstrument,42
C4,C,StringInstrument,43
A4,A,StringInstrument,44
E3,E,StringInstrument,45
E2,E,StringInstrument,46
D2,D,StringInstrument,47
D3,D,StringInstrument,48
B-4,B-,StringInstrument,49
B-4,B-,StringInstrument,50
B-2,B-,StringInstrument,51
B-1,B-,StringInstrument,52
B-4,B-,StringInstrument,53
D5,D,StringInstrument,54
A4,A,StringInstrument,55
C5,C,StringInstrument,56
F2,F,StringInstrument,57
F1,F,StringInstrument,58
A1,A,StringInstrument,59
A2,A,StringInstrument,60
B-1,B-,StringInstrument,61
C5,C,StringInstrument,62
E5,E,StringInstrument,63
D5,D,StringInstrument,64
B-1,B-,StringInstrument,65
B-2,B-,StringInstrument,66
C5,C,StringInstrument,67
C5,C,StringInstrument,68
C3,C,StringInstrument,69
C4,C,StringInstrument,70
B-4,B-,StringInstrument,71
G4,G,StringInstrument,72
F2,F,StringInstrument,73
F1,F,StringInstrument,74
E2,E,StringInstrument,75
E3,E,StringInstrument,76
G4,G,StringInstrument,77
E4,E,StringInstrument,78
C4,C,StringInstrument,79
C3,C,StringInstrument,80
C2,C,StringInstrument,81
B-4,B-,StringInstrument,82
G4,G,StringInstrument,83
F3,F,StringInstrument,84
F2,F,StringInstrument,85
E3,E,StringInstrument,86
E2,E,StringInstrument,87
D2,D,StringInstrument,88
D3,D,StringInstrument,89
B-4,B-,StringInstrument,90
B-4,B-,StringInstrument,91
B-4,B-,StringInstrument,92
B-1,B-,StringInstrument,93
D5,D,StringInstrument,94
D4,D,StringInstrument,95
F3,F,StringInstrument,96
C5,C,StringInstrument,97
A1,A,StringInstrument,98
A2,A,StringInstrument,99
F3,F,StringInstrument,100
A4,A,StringInstrument,101
C5,C,StringInstrument,102
F2,F,StringInstrument,103
F1,F,StringInstrument,104
A2,A,StringInstrument,105
A1,A,StringInstrument,106
E5,E,StringInstrument,107
B-1,B-,StringInstrument,108
F4,F,StringInstrument,109
D5,D,StringInstrument,110
D4,D,StringInstrument,111
F4,F,StringInstrument,112
C5,C,StringInstrument,113
C3,C,StringInstrument,114
G4,G,StringInstrument,115
C4,C,StringInstrument,116
C5,C,StringInstrument,0
C5,C,StringInstrument,1
A4,A,StringInstrument,2
F4,F,StringInstrument,3
G4,G,StringInstrument,4
A4,A,StringInstrument,5
F4,F,StringInstrument,6
G4,G,StringInstrument,7
G4,G,StringInstrument,8
C5,C,StringInstrument,9
C4,C,StringInstrument,10
A4,A,StringInstrument,11
C3,C,StringInstrument,12
C5,C,StringInstrument,13
A4,A,StringInstrument,14
C4,C,StringInstrument,15
B-4,B-,StringInstrument,16
F4,F,StringInstrument,17
D5,D,StringInstrument,18
B-4,B-,StringInstrument,19
G4,G,StringInstrument,20
D4,D,StringInstrument,21
A4,A,StringInstrument,22
