NoteOctave,Note,Instrument,Position
D4,D,Trumpet,0
A4,A,Trumpet,1
A4,A,Trumpet,2
F#4,F#,Trumpet,3
D4,D,Trumpet,4
B4,B,Trumpet,5
D4,D,Trumpet,6
D5,D,Trumpet,7
D5,D,Trumpet,8
C#5,C#,Trumpet,9
B4,B,Trumpet,10
B4,B,Trumpet,11
A4,A,Trumpet,12
A4,A,Trumpet,13
C#4,C#,Trumpet,14
C#4,C#,Trumpet,15
D4,D,Trumpet,16
E4,E,Trumpet,17
F#4,F#,Trumpet,18
G#4,G#,Trumpet,19
A4,A,Trumpet,20
B4,B,Trumpet,21
A4,A,Trumpet,22
G#4,G#,Trumpet,23
A4,A,Trumpet,24
A4,A,Trumpet,25
C#5,C#,Trumpet,26
C#5,C#,Trumpet,27
B4,B,Trumpet,28
A4,A,Trumpet,29
A4,A,Trumpet,30
D5,D,Trumpet,31
D5,D,Trumpet,32
F#4,F#,Trumpet,33
B4,B,Trumpet,34
B4,B,Trumpet,35
B4,B,Trumpet,36
B4,B,Trumpet,37
B4,B,Trumpet,38
B-4,B-,Trumpet,39
A4,A,Trumpet,40
A4,A,Trumpet,41
G#4,G#,Trumpet,42
G4,G,Trumpet,43
F#4,F#,Trumpet,44
B4,B,Trumpet,45
D5,D,Trumpet,46
D5,D,Trumpet,47
C#5,C#,Trumpet,48
B4,B,Trumpet,49
B4,B,Trumpet,50
A4,A,Trumpet,51
C#4,C#,Trumpet,52
D4,D,Trumpet,53
F#4,F#,Horn,0
D4,D,Horn,1
A3,A,Horn,2
A3,A,Horn,3
D4,D,Horn,4
A3,A,Horn,5
F#3,F#,Horn,6
A3,A,Horn,7
D4,D,Horn,8
G4,G,Horn,9
D4,D,Horn,10
G4,G,Horn,11
D4,D,Horn,12
F#4,F#,Horn,13
A3,A,Horn,14
A3,A,Horn,15
A3,A,Horn,16
A3,A,Horn,17
G3,G,Horn,18
F#3,F#,Horn,19
B3,B,Horn,20
E4,E,Horn,21
B3,B,Horn,22
E4,E,Horn,23
A3,A,Horn,24
C#4,C#,Horn,25
E4,E,Horn,26
E4,E,Horn,27
B3,B,Horn,28
D4,D,Horn,29
G4,G,Horn,30
D4,D,Horn,31
C#4,C#,Horn,32
G4,G,Horn,33
G4,G,Horn,34
D4,D,Horn,35
F#4,F#,Horn,36
D4,D,Horn,37
F#4,F#,Horn,38
D4,D,Horn,39
B3,B,Horn,40
E-4,E-,Horn,41
B3,B,Horn,42
E4,E,Horn,43
B3,B,Horn,44
B3,B,Horn,45
F4,F,Horn,46
F#4,F#,Horn,47
B3,B,Horn,48
E4,E,Horn,49
A3,A,Horn,50
B4,B,Horn,51
D4,D,Horn,52
F4,F,Horn,53
D4,D,Horn,54
F#4,F#,Horn,55
D3,D,Bass Trombone,0
