NoteOctave,Note,Instrument,Position
G3,G,Trumpet,0
F#3,F#,Trumpet,1
G3,G,Trumpet,2
A3,A,Trumpet,3
B3,B,Trumpet,4
B3,B,Trumpet,5
A3,A,Trumpet,6
A3,A,Trumpet,7
G3,G,Trumpet,8
B3,B,Trumpet,9
B3,B,Trumpet,10
A3,A,Trumpet,11
B3,B,Trumpet,12
C4,C,Trumpet,13
C4,C,Trumpet,14
B3,B,Trumpet,15
B3,B,Trumpet,16
B3,B,Trumpet,17
A3,A,Trumpet,18
G3,G,Trumpet,19
F#3,F#,Trumpet,20
G3,G,Trumpet,21
A3,A,Trumpet,22
B3,B,Trumpet,23
B3,B,Trumpet,24
A3,A,Trumpet,25
C4,C,Trumpet,26
B3,B,Trumpet,27
A3,A,Trumpet,28
G3,G,Trumpet,29
F#3,F#,Trumpet,30
G3,G,Trumpet,31
A3,A,Trumpet,32
G3,G,Trumpet,33
A3,A,Trumpet,34
G3,G,Trumpet,35
G3,G,Trumpet,36
F#3,F#,Trumpet,37
G3,G,Trumpet,38
A3,A,Trumpet,39
G3,G,Trumpet,40
G3,G,Trumpet,41
G3,G,Trumpet,42
G3,G,Trumpet,43
A3,A,Trumpet,44
B3,B,Trumpet,45
B3,B,Trumpet,46
B3,B,Trumpet,47
B3,B,Trumpet,48
B3,B,Trumpet,49
C4,C,Trumpet,50
B3,B,Trumpet,51
A3,A,Trumpet,52
G3,G,Trumpet,53
G3,G,Trumpet,54
G3,G,Trumpet,55
A3,A,Trumpet,56
B3,B,Trumpet,57
B3,B,Trumpet,58
C4,C,Trumpet,59
A3,A,Trumpet,60
G3,G,Trumpet,61
F#3,F#,Trumpet,62
G3,G,Trumpet,63
G3,G,Trumpet,64
G3,G,Trumpet,65
B3,B,Trumpet,66
D4,D,Trumpet,67
B3,B,Trumpet,68
A3,A,Trumpet,69
C4,C,Trumpet,70
B3,B,Trumpet,71
A3,A,Trumpet,72
G3,G,Trumpet,73
B3,B,Trumpet,74
C4,C,Trumpet,75
A3,A,Trumpet,76
G3,G,Trumpet,77
A3,A,Trumpet,78
C4,C,Trumpet,79
B3,B,Trumpet,80
B3,B,Trumpet,81
C4,C,Trumpet,82
A3,A,Trumpet,83
G3,G,Trumpet,84
G3,G,Trumpet,85
F#3,F#,Trumpet,86
A3,A,Trumpet,87
G3,G,Trumpet,88
A3,A,Trumpet,89
A3,A,Trumpet,90
A3,A,Trumpet,91
A3,A,Trumpet,92
A2,A,Trumpet,93
A2,A,Trumpet,94
D3,D,Trumpet,95
D3,D,Trumpet,96
F#3,F#,Trumpet,97
F#3,F#,Trumpet,98
A3,A,Trumpet,99
A3,A,Trumpet,100
A3,A,Trumpet,101
B3,B,Trumpet,102
C#4,C#,Trumpet,103
B3,B,Trumpet,104
A3,A,Trumpet,105
B3,B,Trumpet,106
E3,E,Trumpet,107
A3,A,Trumpet,108
F#3,F#,Trumpet,109
A3,A,Trumpet,110
B3,B,Trumpet,111
B3,B,Trumpet,112
F#3,F#,Trumpet,113
F#3,F#,Trumpet,114
A3,A,Trumpet,115
A3,A,Trumpet,116
A3,A,Trumpet,117
G3,G,Trumpet,118
F#3,F#,Trumpet,119
F#3,F#,Trumpet,120
B3,B,Trumpet,121
G3,G,Trumpet,122
E3,E,Trumpet,123
D3,D,Trumpet,124
F#3,F#,Trumpet,125
A3,A,Trumpet,126
A3,A,Trumpet,127
A3,A,Trumpet,128
D4,D,Trumpet,129
D4,D,Trumpet,130
B3,B,Trumpet,131
A3,A,Trumpet,132
G3,G,Trumpet,133
F#3,F#,Trumpet,134
A3,A,Trumpet,135
B3,B,Trumpet,136
C#4,C#,Trumpet,137
D4,D,Trumpet,138
D4,D,Horn,0
D4,D,Horn,1
