NoteOctave,Note,Instrument,Position
F4,F,Trumpet,0
C4,C,Trumpet,1
F4,F,Trumpet,2
G4,G,Trumpet,3
A4,A,Trumpet,4
C5,C,Trumpet,5
B-4,B-,Trumpet,6
A4,A,Trumpet,7
G4,G,Trumpet,8
A4,A,Trumpet,9
B-4,B-,Trumpet,10
G4,G,Trumpet,11
F4,F,Trumpet,12
E4,E,Trumpet,13
F4,F,Trumpet,14
F4,F,Trumpet,15
C4,C,Trumpet,16
F4,F,Trumpet,17
G4,G,Trumpet,18
A4,A,Trumpet,19
C5,C,Trumpet,20
B-4,B-,Trumpet,21
A4,A,Trumpet,22
G4,G,Trumpet,23
C5,C,Trumpet,24
B-4,B-,Trumpet,25
G4,G,Trumpet,26
F4,F,Trumpet,27
E4,E,Trumpet,28
F4,F,Trumpet,29
A4,A,Trumpet,30
G4,G,Trumpet,31
A4,A,Trumpet,32
B-4,B-,Trumpet,33
A4,A,Trumpet,34
G4,G,Trumpet,35
F4,F,Trumpet,36
A4,A,Trumpet,37
G4,G,Trumpet,38
C5,C,Trumpet,39
C5,C,Trumpet,40
C5,C,Trumpet,41
F5,F,Trumpet,42
D5,D,Trumpet,43
C5,C,Trumpet,44
A4,A,Trumpet,45
G4,G,Trumpet,46
A4,A,Trumpet,47
B-4,B-,Trumpet,48
A4,A,Trumpet,49
G4,G,Trumpet,50
F4,F,Trumpet,51
A4,A,Trumpet,52
G4,G,Trumpet,53
C5,C,Trumpet,54
C5,C,Trumpet,55
B-4,B-,Trumpet,56
A4,A,Trumpet,57
G4,G,Trumpet,58
F4,F,Trumpet,59
F4,F,Horn,0
C4,C,Horn,1
C4,C,Horn,2
C4,C,Horn,3
F4,F,Horn,4
C4,C,Horn,5
C4,C,Horn,6
A4,A,Horn,7
C4,C,Horn,8
G4,G,Horn,9
C4,C,Horn,10
F4,F,Horn,11
C4,C,Horn,12
E4,E,Horn,13
C4,C,Horn,14
F4,F,Horn,15
D4,D,Horn,16
F4,F,Horn,17
C4,C,Horn,18
C4,C,Horn,19
B-3,B-,Horn,20
C4,C,Horn,21
A3,A,Horn,22
G3,G,Horn,23
C4,C,Horn,24
C4,C,Horn,25
F4,F,Horn,26
C4,C,Horn,27
C4,C,Horn,28
G4,G,Horn,29
F4,F,Horn,30
C4,C,Horn,31
E4,E,Horn,32
F4,F,Horn,33
C4,C,Horn,34
C4,C,Horn,35
C4,C,Horn,36
B-3,B-,Horn,37
F4,F,Horn,38
C4,C,Horn,39
C4,C,Horn,40
C4,C,Horn,41
F4,F,Horn,42
C4,C,Horn,43
C4,C,Horn,44
C4,C,Horn,45
F4,F,Horn,46
C5,C,Horn,47
B-4,B-,Horn,48
F4,F,Horn,49
F4,F,Horn,50
A4,A,Horn,51
C4,C,Horn,52
F4,F,Horn,53
C4,C,Horn,54
C4,C,Horn,55
F4,F,Horn,56
C4,C,Horn,57
C4,C,Horn,58
C4,C,Horn,59
F4,F,Horn,60
D4,D,Horn,61
F4,F,Horn,62
C4,C,Horn,63
F4,F,Horn,64
E4,E,Horn,65
C4,C,Horn,66
B-3,B-,Horn,67
F3,F,Bass Trombone,0
C3,C,Bass Trombone,1
F3,F,Bass Trombone,2
E3,E,Bass Trombone,3
A2,A,Bass Trombone,4
E3,E,Bass Trombone,5
F2,F,Bass Trombone,6
E2,E,Bass Trombone,7
F2,F,Bass Trombone,8
C3,C,Bass Trombone,9
F3,F,Bass Trombone,10
F3,F,Bass Trombone,11
D3,D,Bass Trombone,12
A3,A,Bass Trombone,13
G3,G,Bass Trombone,14
F3,F,Bass Trombone,15
F3,F,Bass Trombone,16
